test_dataset,trained_on,split,balanced_accuracy,auroc
WESAD,WESAD (other subjects),11,0.8547667050691244,0.9601814516129032
WESAD,PhysioNet only,11,0.8372335829493087,0.946068548387097
WESAD,both datasets,11,0.918166762672811,0.9762384792626728
WESAD,WESAD (other subjects),12,0.8361928394186459,0.9333569656150302
WESAD,PhysioNet only,12,0.859269762495569,0.9356256646579226
WESAD,both datasets,12,0.9054236086494152,0.9618574973413683
WESAD,WESAD (other subjects),13,0.8940092165898618,0.9513155938754274
WESAD,PhysioNet only,13,0.8225806451612903,0.9147465437788018
WESAD,both datasets,13,0.9239631336405529,0.9743570685298052
WESAD,WESAD (other subjects),14,0.9792626728110598,0.9988283995938452
WESAD,PhysioNet only,14,0.8460517066312583,0.9368897914551277
WESAD,both datasets,14,0.9477466218854956,0.9925017574006092
WESAD,WESAD (other subjects),15,0.7962033152211294,0.9546048559048077
WESAD,PhysioNet only,15,0.7915950202902537,0.9506843661874957
WESAD,both datasets,15,0.917910447761194,0.9792282825503817
WESAD,WESAD (other subjects),16,0.8613322161709258,0.9655774333193687
WESAD,PhysioNet only,16,0.7892054182376763,0.9280826700181539
WESAD,both datasets,16,0.9044826141600335,0.9722804077642788
WESAD,WESAD (other subjects),17,0.873015873015873,0.9747207524985302
WESAD,PhysioNet only,17,0.8078703703703703,0.9430482069370958
WESAD,both datasets,17,0.8918650793650793,0.9799382716049383
WESAD,WESAD (other subjects),18,0.9207364341085271,0.9761240310077519
WESAD,PhysioNet only,18,0.7974806201550388,0.9133333333333333
WESAD,both datasets,18,0.9197674418604651,0.9675193798449613
WESAD,WESAD (other subjects),19,0.9169653524492234,0.9716995221027478
WESAD,PhysioNet only,19,0.8605137395459976,0.9521356033452807
WESAD,both datasets,19,0.9204002389486261,0.9839456391875747
