task,normalisation,modality,subject,accuracy
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S15,0.6363636363636364
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S16,0.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S17,0.6
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S18,0.7272727272727273
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f01,0.6842105263157895
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f02,0.125
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f03,0.3333333333333333
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f04,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f05,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f06,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f07,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f08,0.6153846153846154
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f09,0.5
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f10,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f11,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f12,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f14,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f15,0.9230769230769231
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f16,0.5
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f17,0.8333333333333334
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f18,0.36363636363636365
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S10,0.8524590163934426
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S11,0.8305084745762712
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S13,0.847457627118644
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S14,0.7966101694915254
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S15,0.7627118644067796
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S16,0.8135593220338984
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S17,0.9344262295081968
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S2,0.9642857142857143
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S3,0.8421052631578947
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S4,0.9473684210526315
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S5,0.8275862068965517
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S6,0.7413793103448276
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S7,0.5517241379310345
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S8,0.6379310344827587
shared_Baseline_vs_Stress_pooled,none,acc_only,WESAD:S9,0.9137931034482759
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S01,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S02,0.4
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S03,0.8
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S04,1.0
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S05,0.5454545454545454
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S06,1.0
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S07,0.5555555555555556
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S08,0.6
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S09,0.5
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S10,0.6
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S11,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S12,0.5
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S13,0.7
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S14,0.8181818181818182
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S15,0.2727272727272727
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S16,0.5454545454545454
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S17,0.5
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:S18,0.6363636363636364
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f01,0.7368421052631579
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f02,0.875
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f03,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f04,0.9166666666666666
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f05,0.75
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f06,0.8333333333333334
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f07,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f08,1.0
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f09,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f10,0.25
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f11,0.6153846153846154
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f12,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f14,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f15,0.6153846153846154
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f16,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f17,0.75
shared_Baseline_vs_Stress_pooled,none,physiology_only,PhysioNet:f18,0.45454545454545453
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S10,0.6229508196721312
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S11,0.9322033898305084
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S13,0.9322033898305084
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S14,0.6949152542372882
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S15,0.7627118644067796
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S16,0.9661016949152542
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S17,0.9508196721311475
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S2,0.9642857142857143
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S3,0.9649122807017544
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S4,1.0
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S5,0.896551724137931
