split,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
random_windows_15pct (thesis notebook 12),10.0,0.9217692974848222,0.004418611893505112,0.9186084129519991,0.9249301820176452,0.8098816553354234,0.010180958133099782,0.8025986366255123,0.8171646740453345,0.8231170566139537,0.009498232692720017,0.8163224302627001,0.8299116829652073
unseen_subjects_15pct,10.0,0.5045873286508293,0.05194093846551162,0.46743101961692823,0.5417436376847304,0.35861405189500484,0.039535510619212615,0.33033205134247456,0.3868960524475351,0.35405165326798416,0.04211124437644123,0.3239270837842786,0.3841762227516897
