features,test_dataset,split,source_stress_rate,target_stress_rate,fixed_0.5,prevalence,oracle,auroc,mean_score
physiology,Campanella2024,0,0.269907795473596,0.5,0.8958333333333333,0.7708333333333333,0.9375,0.9791666666666667,0.41044748
physiology,Campanella2024,1,0.269907795473596,0.5,0.8125,0.6875,0.8333333333333334,0.8749999999999999,0.47518373
physiology,Campanella2024,2,0.269907795473596,0.5,0.75,0.7291666666666667,0.7916666666666667,0.8559027777777778,0.53124756
physiology,Campanella2024,3,0.269907795473596,0.5,0.875,0.7708333333333333,0.8958333333333334,0.9288194444444445,0.49847534
physiology,Campanella2024,4,0.269907795473596,0.5,0.8333333333333334,0.7291666666666667,0.8749999999999999,0.9045138888888888,0.46163583
physiology,Campanella2024,5,0.269907795473596,0.5,0.8333333333333334,0.7708333333333333,0.8749999999999999,0.9305555555555556,0.4872414
physiology,Campanella2024,6,0.269907795473596,0.5,0.9375,0.7708333333333333,0.9375,0.9513888888888888,0.42479804
physiology,Campanella2024,7,0.269907795473596,0.5,0.8541666666666667,0.7708333333333333,0.9166666666666667,0.96875,0.39743078
physiology,Campanella2024,8,0.269907795473596,0.5,0.8333333333333333,0.7708333333333333,0.8750000000000001,0.954861111111111,0.392107
physiology,Campanella2024,9,0.269907795473596,0.5,0.75,0.6458333333333334,0.7500000000000001,0.7899305555555556,0.4415872
physiology,Campanella2024,10,0.269907795473596,0.5,0.7083333333333334,0.6875,0.7500000000000001,0.796875,0.4446764
physiology,Campanella2024,11,0.269907795473596,0.5,0.6666666666666667,0.6458333333333334,0.6875000000000001,0.736111111111111,0.38722667
physiology,Campanella2024,12,0.269907795473596,0.5,0.7916666666666666,0.6875,0.8125000000000001,0.8645833333333333,0.42256942
physiology,Campanella2024,13,0.269907795473596,0.5,0.8541666666666667,0.7708333333333333,0.9166666666666667,0.9392361111111112,0.38925934
physiology,Campanella2024,14,0.269907795473596,0.5,0.7916666666666667,0.7291666666666667,0.8333333333333334,0.8940972222222221,0.4592
physiology,Campanella2024,15,0.269907795473596,0.5,0.8541666666666667,0.7708333333333333,0.8749999999999999,0.9288194444444444,0.39855614
physiology,Campanella2024,16,0.269907795473596,0.5,0.875,0.6875,0.8958333333333334,0.9131944444444444,0.47141096
physiology,Campanella2024,17,0.269907795473596,0.5,0.875,0.7708333333333333,0.8958333333333333,0.953125,0.40872046
physiology,Campanella2024,18,0.269907795473596,0.5,0.875,0.7708333333333333,0.9583333333333333,0.9878472222222222,0.3766712
physiology,Campanella2024,19,0.269907795473596,0.5,0.75,0.7291666666666667,0.7708333333333334,0.8107638888888888,0.34821108
physiology,PhysioNet,0,0.3286944996686547,0.12427745664739884,0.6488602348606953,0.6571110599432036,0.7049658454217514,0.7187811804436257,0.39919183
physiology,PhysioNet,1,0.3286944996686547,0.1449814126394052,0.7663322185061315,0.7263656633221851,0.7750278706800446,0.8240802675585284,0.4430302
physiology,PhysioNet,2,0.3286944996686547,0.14057507987220447,0.7052213585670835,0.7052213585670835,0.720513687056438,0.708854342683339,0.36017454
physiology,PhysioNet,3,0.3286944996686547,0.1274787535410765,0.7485209235209236,0.7573953823953824,0.7731240981240981,0.8361471861471862,0.45866847
physiology,PhysioNet,4,0.3286944996686547,0.1456953642384106,0.6819943622269203,0.6805849189570119,0.7147639182522905,0.7582804792107116,0.40331843
physiology,PhysioNet,5,0.3286944996686547,0.15037593984962405,0.7996681415929203,0.7908185840707964,0.8069690265486725,0.863716814159292,0.36042637
physiology,PhysioNet,6,0.3286944996686547,0.15234375,0.8104691007916814,0.8206900626255464,0.8690771593997401,0.9129150419473,0.39668697
physiology,PhysioNet,7,0.3286944996686547,0.16012084592145015,0.7357472512555993,0.7307927243111172,0.7550902674087144,0.7923849599565631,0.36718416
physiology,PhysioNet,8,0.3286944996686547,0.14814814814814814,0.7811264822134387,0.7865612648221344,0.8028656126482213,0.8355192238591448,0.3802521
physiology,PhysioNet,9,0.3286944996686547,0.15789473684210525,0.7169117647058824,0.724264705882353,0.7604166666666666,0.7717704728950404,0.39670405
physiology,PhysioNet,10,0.3286944996686547,0.1355421686746988,0.835346496322106,0.8370886566008517,0.8921796360820751,0.9285327138985675,0.38325295
physiology,PhysioNet,11,0.3286944996686547,0.1423841059602649,0.6945766364371015,0.6885157582832002,0.7135673879859926,0.7849510640208315,0.47330317
physiology,PhysioNet,12,0.3286944996686547,0.14046822742474915,0.7306837131739856,0.7386974244950899,0.7710765239948119,0.7783954048545488,0.37544888
physiology,PhysioNet,13,0.3286944996686547,0.13003095975232198,0.7617352991018471,0.7492797830876122,0.7670733773936621,0.7523301135400781,0.35271797
physiology,PhysioNet,14,0.3286944996686547,0.1211340206185567,0.7704498658513759,0.7601859362326076,0.8019591938603606,0.7899794097460535,0.36622936
physiology,PhysioNet,15,0.3286944996686547,0.1411764705882353,0.6445490867579908,0.6478310502283104,0.6819349315068493,0.698273401826484,0.40392286
physiology,PhysioNet,16,0.3286944996686547,0.16475095785440613,0.7873906550032004,0.7760827821634307,0.8135801152122892,0.865372306379347,0.34381557
physiology,PhysioNet,17,0.3286944996686547,0.1649122807017544,0.6867959949937422,0.6846951546576077,0.7319864115859109,0.7610405864473448,0.3767902
physiology,PhysioNet,18,0.3286944996686547,0.1532567049808429,0.6879524886877828,0.6449660633484162,0.6992647058823529,0.730656108597285,0.340252
physiology,PhysioNet,19,0.3286944996686547,0.1595744680851064,0.639662447257384,0.660759493670886,0.690154711673699,0.6720112517580872,0.3975181
physiology,Stress-Predict,0,0.2211126961483595,0.3484573502722323,0.6663112233054782,0.665825208913649,0.6888419800371403,0.7356662024141132,0.29191843
physiology,Stress-Predict,1,0.2211126961483595,0.33458646616541354,0.6019647051355297,0.6119469307433505,0.636593029899067,0.6622071986288326,0.28914103
physiology,Stress-Predict,2,0.2211126961483595,0.35660377358490564,0.5942760942760943,0.6039348942574749,0.6118248537603377,0.6632686310105665,0.28884447
physiology,Stress-Predict,3,0.2211126961483595,0.3648148148148148,0.6612674076156931,0.648732444391825,0.6698065738260496,0.7157064421127406,0.33104545
physiology,Stress-Predict,4,0.2211126961483595,0.34375,0.6726508785332315,0.6564807741278329,0.6837280366692132,0.7269282044368549,0.31997895
physiology,Stress-Predict,5,0.2211126961483595,0.34579439252336447,0.6587644787644789,0.6563706563706564,0.7210424710424711,0.7645559845559845,0.28260115
physiology,Stress-Predict,6,0.2211126961483595,0.3309608540925267,0.6649508121711278,0.6552133379089453,0.6919183253260123,0.7453814916495081,0.32261366
physiology,Stress-Predict,7,0.2211126961483595,0.35150375939849626,0.6217003797566458,0.6093544137022397,0.6329690769588467,0.641230721537627,0.32607454
physiology,Stress-Predict,8,0.2211126961483595,0.35877862595419846,0.6342451874366768,0.6550468591691996,0.6581496960486323,0.6891147416413375,0.3510692
physiology,Stress-Predict,9,0.2211126961483595,0.35447761194029853,0.6671128688773957,0.662321265591725,0.6765591724977182,0.7214024946759964,0.32219207
physiology,Stress-Predict,10,0.2211126961483595,0.37333333333333335,0.6285822839774208,0.6330872774641771,0.6677160225792445,0.7023602754171578,0.28244117
physiology,Stress-Predict,11,0.2211126961483595,0.360377358490566,0.5931288514108326,0.5893681755702791,0.6460640318769402,0.6887056170751672,0.27579218
physiology,Stress-Predict,12,0.2211126961483595,0.36213235294117646,0.6201597448763148,0.6200939159437675,0.659444988955368,0.6986205181468423,0.29674736
physiology,Stress-Predict,13,0.2211126961483595,0.32974910394265233,0.6554725645198791,0.6180248779353639,0.6782143687514532,0.7011014880260406,0.35607484
physiology,Stress-Predict,14,0.2211126961483595,0.352165725047081,0.6293138291257306,0.6339074741947519,0.6355941425195871,0.66384778012685,0.28231803
physiology,Stress-Predict,15,0.2211126961483595,0.3568702290076336,0.6329202304067028,0.627231469874165,0.6513591139180247,0.672939907012171,0.33746612
physiology,Stress-Predict,16,0.2211126961483595,0.3553875236294896,0.6904598490048044,0.6585137580333188,0.7063471017657702,0.770746240718787,0.3642676
physiology,Stress-Predict,17,0.2211126961483595,0.34724857685009486,0.6621235226839497,0.6480572499682298,0.7039728682170542,0.7451550387596899,0.29356253
physiology,Stress-Predict,18,0.2211126961483595,0.3394495412844037,0.6212462462462462,0.6101726726726726,0.6300675675675675,0.6206906906906907,0.34328476
physiology,Stress-Predict,19,0.2211126961483595,0.36213235294117646,0.6698898462528708,0.6559048552494916,0.7012171038195409,0.7489723372196786,0.34169516
physiology,UBFC-Phys,0,0.2696929238985314,0.5,0.525,0.725,0.9249999999999999,0.9425,0.1610966
physiology,UBFC-Phys,1,0.2696929238985314,0.3333333333333333,0.5,0.9,1.0,1.0,0.112234116
physiology,UBFC-Phys,2,0.2696929238985314,0.6666666666666666,0.5875,0.7,0.925,0.9637500000000001,0.20129497
physiology,UBFC-Phys,3,0.2696929238985314,0.3333333333333333,0.65,0.9,0.95,0.975,0.1605648
physiology,UBFC-Phys,4,0.2696929238985314,0.6,0.5666666666666667,0.7333333333333334,0.9583333333333334,0.9933333333333334,0.16375752
physiology,UBFC-Phys,5,0.2696929238985314,0.6666666666666666,0.5875,0.7,0.8,0.87375,0.21018185
physiology,UBFC-Phys,6,0.2696929238985314,0.3333333333333333,0.7,0.675,0.75,0.715,0.14948551
physiology,UBFC-Phys,7,0.2696929238985314,0.5,0.525,0.725,0.9249999999999999,0.9425,0.15793818
physiology,UBFC-Phys,8,0.2696929238985314,0.6,0.6166666666666667,0.7333333333333334,0.8416666666666667,0.855,0.19436182
physiology,UBFC-Phys,9,0.2696929238985314,0.6666666666666666,0.5625,0.7,0.9625,0.99375,0.21428984
physiology,UBFC-Phys,10,0.2696929238985314,0.5,0.525,0.675,0.8500000000000001,0.89,0.16964014
physiology,UBFC-Phys,11,0.2696929238985314,0.5,0.525,0.675,0.8500000000000001,0.89,0.17225483
physiology,UBFC-Phys,12,0.2696929238985314,0.5,0.6,0.725,0.925,0.9475,0.19558266
physiology,UBFC-Phys,13,0.2696929238985314,0.6,0.5666666666666667,0.6916666666666667,0.95,0.9500000000000001,0.18938556
physiology,UBFC-Phys,14,0.2696929238985314,0.3333333333333333,0.5,0.825,0.975,0.95,0.11725505
physiology,UBFC-Phys,15,0.2696929238985314,0.5,0.525,0.675,0.9,0.9124999999999999,0.15944496
physiology,UBFC-Phys,16,0.2696929238985314,0.3333333333333333,0.65,0.9,0.975,0.995,0.14511402
physiology,UBFC-Phys,17,0.2696929238985314,0.5,0.55,0.775,0.975,0.995,0.14938882
physiology,UBFC-Phys,18,0.2696929238985314,0.5,0.675,0.725,0.775,0.7775,0.19116536
physiology,UBFC-Phys,19,0.2696929238985314,0.3333333333333333,0.65,0.9,0.975,0.995,0.145839
physiology,WESAD,0,0.29485309439466556,0.2206405693950178,0.9280085432316983,0.9417071733686846,0.9564737074679629,0.9875533951981147,0.36914325
physiology,WESAD,1,0.29485309439466556,0.21660649819494585,0.8661674347158218,0.885483870967742,0.8955837173579109,0.9497695852534562,0.40576875
physiology,WESAD,2,0.29485309439466556,0.2246376811594203,0.7200030147723847,0.7036478745854688,0.7480403979499547,0.785951160687368,0.37517768
physiology,WESAD,3,0.29485309439466556,0.2158273381294964,0.9412079510703364,0.938914373088685,0.968730886850153,0.9943425076452599,0.363909
physiology,WESAD,4,0.29485309439466556,0.21785714285714286,0.91324200913242,0.9392918631634104,0.9447937719889213,0.989969309080021,0.41379577
physiology,WESAD,5,0.29485309439466556,0.21660649819494585,0.885483870967742,0.885483870967742,0.9223502304147465,0.9632872503840246,0.36986232
physiology,WESAD,6,0.29485309439466556,0.22661870503597123,0.7234772978959025,0.7095238095238096,0.7357696566998893,0.8125507567368033,0.36458576
physiology,WESAD,7,0.29485309439466556,0.2277580071174377,0.7640048963133641,0.7640048963133641,0.7986751152073732,0.8511664746543779,0.37332425
physiology,WESAD,8,0.29485309439466556,0.21942446043165467,0.9001284278915163,0.9096094281181537,0.9119135755835914,0.9739366926040642,0.34597406
physiology,WESAD,9,0.29485309439466556,0.21739130434782608,0.900462962962963,0.8958333333333333,0.9166666666666666,0.9513117283950617,0.38895863
physiology,WESAD,10,0.29485309439466556,0.21660649819494585,0.8799923195084485,0.885483870967742,0.9001920122887864,0.9501536098310293,0.40924844
physiology,WESAD,11,0.29485309439466556,0.2277580071174377,0.7386592741935484,0.7640048963133641,0.7848502304147466,0.8440380184331797,0.38412613
physiology,WESAD,12,0.29485309439466556,0.23049645390070922,0.7363346331088267,0.7585962424672101,0.7678128323289614,0.8233250620347394,0.39991447
physiology,WESAD,13,0.29485309439466556,0.2222222222222222,0.8905529953917051,0.881336405529954,0.8905529953917051,0.9544373420544076,0.3759973
physiology,WESAD,14,0.29485309439466556,0.213768115942029,0.8931109896118097,0.8931109896118097,0.9261110677185035,0.9657892681402795,0.38680112
physiology,WESAD,15,0.29485309439466556,0.23591549295774647,0.7505674393011899,0.7459591443703144,0.7609876882866772,0.8268106472247059,0.35781875
physiology,WESAD,16,0.29485309439466556,0.2332155477031802,0.7273425499231951,0.7312875296746264,0.7401550062840385,0.8122468928920541,0.3775383
physiology,WESAD,17,0.29485309439466556,0.22580645161290322,0.7705026455026455,0.7612433862433863,0.8029100529100529,0.8600088183421518,0.35897517
physiology,WESAD,18,0.29485309439466556,0.21818181818181817,0.8538759689922482,0.8445736434108527,0.8538759689922482,0.9286821705426356,0.36979458
physiology,WESAD,19,0.29485309439466556,0.22302158273381295,0.892547789725209,0.8706690561529271,0.8925477897252091,0.9558691756272402,0.37913826
hr_hrv_eda,Campanella2024,0,0.269907795473596,0.5,0.9166666666666667,0.7708333333333333,0.9375,0.9756944444444444,0.45754066
hr_hrv_eda,Campanella2024,1,0.269907795473596,0.5,0.75,0.6458333333333334,0.7708333333333334,0.8194444444444444,0.5122755
hr_hrv_eda,Campanella2024,2,0.269907795473596,0.5,0.7291666666666667,0.6875,0.7499999999999999,0.7934027777777778,0.5951323
