task,normalisation,modality,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost,20.0,0.8202000764107099,0.046780060902360025,0.7983063339752042,0.8420938188462156,0.8172808718021878,0.04886250062414684,0.7944125175763848,0.8401492260279908,0.8150567718227195,0.048842147122073,0.7921979433291081,0.8379156003163309
shared_Baseline_vs_Stress_pooled,none,all_modalities,random_forest,20.0,0.8189908880734669,0.04255167264794312,0.7990760922569651,0.8389056838899687,0.8141161803302305,0.04420062613815994,0.7934296505247908,0.8348027101356702,0.8128768499838003,0.044326040578320874,0.7921316244135922,0.8336220755540084
shared_Baseline_vs_Stress_pooled,none,all_modalities,mlp,20.0,0.819469436161626,0.040650794667549825,0.8004442786247947,0.8384945936984574,0.8151564187139672,0.04545951181419469,0.7938807122761075,0.8364321251518269,0.8137632377480323,0.043522276845025215,0.7933941851843644,0.8341322903117001
shared_Baseline_vs_Stress_pooled,none,physiology_only,xgboost,20.0,0.7996174520179129,0.05210190885828993,0.7752330080702556,0.8240018959655702,0.7980963537552722,0.05364958683221045,0.7729875742193213,0.8232051332912231,0.7943542721322843,0.05392428472090946,0.7691169300270091,0.8195916142375594
shared_Baseline_vs_Stress_pooled,none,physiology_only,random_forest,20.0,0.7971053158488937,0.04967409510560149,0.7738571237135989,0.8203535079841884,0.7951517373158095,0.05014433014835891,0.7716834684061008,0.8186200062255181,0.7920567219850068,0.05026326743990621,0.7685327887093933,0.8155806552606202
shared_Baseline_vs_Stress_pooled,none,physiology_only,mlp,20.0,0.7987492226154823,0.05295686837059628,0.7739646452991599,0.8235337999318048,0.7937106163654585,0.04976274357127501,0.7704209354711216,0.8170002972597954,0.7927111370438302,0.053003909600322516,0.7679045437543002,0.8175177303333603
shared_Baseline_vs_Stress_pooled,none,acc_only,xgboost,20.0,0.7475155154933133,0.07335765012820897,0.7131830784121994,0.7818479525744272,0.7462169435748716,0.06658716810514546,0.7150531896189585,0.7773806975307846,0.7419728480716866,0.07271933017365435,0.7079391539252096,0.7760065422181637
shared_Baseline_vs_Stress_pooled,none,acc_only,random_forest,20.0,0.7721090469266649,0.06980330534742936,0.7394400944083394,0.8047779994449905,0.7714940926264351,0.06266725796255954,0.7421649130891238,0.8008232721637464,0.7673527711502522,0.06913833271526135,0.7349950354036563,0.7997105068968482
shared_Baseline_vs_Stress_pooled,none,acc_only,mlp,20.0,0.775251807610743,0.07476863472214779,0.7402590094124292,0.8102446058090568,0.7720494146899746,0.06472036255158278,0.7417593526271136,0.8023394767528356,0.7683276045813798,0.07534389312264489,0.7330655771642193,0.8035896319985404
within_WESAD,none,all_modalities,xgboost,20.0,0.6780489520853007,0.048660784908600985,0.6552750037203744,0.700822900450227,0.6000300721054346,0.049964830007446885,0.5766458118476271,0.6234143323632421,0.5890554349316097,0.04467748896172683,0.5681457264548546,0.6099651434083648
within_WESAD,none,all_modalities,random_forest,20.0,0.6485835003940087,0.07197477733592113,0.6148982677019317,0.6822687330860857,0.5690137427230046,0.047315123366143075,0.5468695833461139,0.5911579020998954,0.5499645755235965,0.06242570045868596,0.5207484483780769,0.579180702669116
within_WESAD,none,all_modalities,mlp,20.0,0.6780709282408333,0.0616423430442106,0.6492214236506639,0.7069204328310026,0.5827448467200299,0.05756775223529651,0.5558023093286986,0.6096873841113613,0.570367696524394,0.06476785895038638,0.5400554054626399,0.6006799875861482
within_WESAD,none,physiology_only,xgboost,20.0,0.5444815903908438,0.0743168518328997,0.5097002330932721,0.5792629476884155,0.49439761456094394,0.06950727604699294,0.461867208019945,0.5269280211019428,0.4817700586140993,0.06803835415661659,0.4499271286797021,0.5136129885484965
within_WESAD,none,physiology_only,random_forest,20.0,0.5603650632706279,0.06906339857550726,0.5280423977809695,0.5926877287602862,0.4966922814368015,0.060397113145658515,0.4684255623784594,0.5249590004951435,0.46796924271196955,0.05525148372307707,0.4421107523534938,0.4938277330704453
