condition,probe,dataset,label,kind,n_subjects,n_windows,rate,lo,hi,subj_median,subj_q1,subj_q3,mean_score
3_added_negative,Campanella Manual task,Stress-Predict,Baseline,false_stress_core,34,2577,0.15,0.086,0.223,0.036,0.0,0.261,0.257
3_added_negative,Campanella Manual task,Stress-Predict,Rest,false_stress_core,34,4513,0.229,0.18,0.282,0.231,0.173,0.32,0.328
3_added_negative,Campanella Manual task,Stress-Predict,Stress,stress_recall,33,3547,0.623,0.557,0.689,0.64,0.475,0.778,0.575
3_added_negative,Campanella Manual task,UBFC-Phys,Baseline,false_stress_core,19,400,0.085,0.011,0.205,0.0,0.0,0.067,0.17
3_added_negative,Campanella Manual task,UBFC-Phys,Stress,stress_recall,11,500,0.698,0.6,0.796,0.68,0.583,0.85,0.583
3_added_negative,Campanella Manual task,WESAD,Amusement,false_stress_core,15,660,0.194,0.098,0.302,0.091,0.0,0.327,0.306
3_added_negative,Campanella Manual task,WESAD,Baseline,false_stress_core,15,2263,0.056,0.03,0.085,0.061,0.003,0.113,0.202
3_added_negative,Campanella Manual task,WESAD,Meditation,false_stress_core,15,1423,0.034,0.013,0.057,0.0,0.0,0.054,0.201
3_added_negative,Campanella Manual task,WESAD,Stress,stress_recall,15,1247,0.937,0.852,0.996,1.0,0.991,1.0,0.831
3_added_negative,EPM-E4 emotions,Campanella2024,Baseline,false_stress_core,29,480,0.123,0.033,0.243,0.0,0.0,0.0,0.226
3_added_negative,EPM-E4 emotions,Campanella2024,Stress,stress_recall,29,420,0.886,0.794,0.961,1.0,0.85,1.0,0.76
3_added_negative,EPM-E4 emotions,EPM-E4,Anger,false_stress_probed,33,140,0.35,0.177,0.525,0.0,0.0,1.0,0.404
3_added_negative,EPM-E4 emotions,EPM-E4,Fear,false_stress_probed,33,1673,0.252,0.165,0.343,0.167,0.028,0.333,0.315
3_added_negative,EPM-E4 emotions,EPM-E4,Happiness,false_stress_probed,33,1260,0.183,0.09,0.292,0.022,0.0,0.333,0.257
3_added_negative,EPM-E4 emotions,EPM-E4,Sadness,false_stress_probed,33,558,0.301,0.193,0.423,0.25,0.0,0.5,0.35
3_added_negative,EPM-E4 emotions,PhysioNet,Baseline,false_stress_core,35,667,0.177,0.089,0.287,0.0,0.0,0.29,0.257
3_added_negative,EPM-E4 emotions,PhysioNet,Rest,false_stress_core,35,4525,0.202,0.153,0.259,0.136,0.08,0.258,0.288
3_added_negative,EPM-E4 emotions,PhysioNet,Stress,stress_recall,35,884,0.709,0.586,0.82,0.8,0.536,1.0,0.649
3_added_negative,EPM-E4 emotions,Stress-Predict,Baseline,false_stress_core,34,2577,0.19,0.11,0.281,0.084,0.0,0.286,0.279
3_added_negative,EPM-E4 emotions,Stress-Predict,Rest,false_stress_core,34,4513,0.265,0.209,0.331,0.226,0.189,0.391,0.351
