features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.897,0.957
physiology,Campanella2024,other_datasets_only,0.839,0.926
physiology,Campanella2024,all_datasets,0.895,0.95
physiology,PhysioNet,within_dataset,0.758,0.85
physiology,PhysioNet,other_datasets_only,0.732,0.796
physiology,PhysioNet,all_datasets,0.769,0.828
physiology,Stress-Predict,within_dataset,0.712,0.786
physiology,Stress-Predict,other_datasets_only,0.642,0.703
physiology,Stress-Predict,all_datasets,0.7,0.772
physiology,UBFC-Phys,within_dataset,0.877,0.952
physiology,UBFC-Phys,other_datasets_only,0.612,0.933
physiology,UBFC-Phys,all_datasets,0.867,0.93
physiology,WESAD,within_dataset,0.9,0.973
physiology,WESAD,other_datasets_only,0.831,0.92
physiology,WESAD,all_datasets,0.881,0.956
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95
hr_hrv_eda,Campanella2024,other_datasets_only,0.844,0.915
hr_hrv_eda,Campanella2024,all_datasets,0.895,0.937
hr_hrv_eda,PhysioNet,within_dataset,0.775,0.853
hr_hrv_eda,PhysioNet,other_datasets_only,0.749,0.81
hr_hrv_eda,PhysioNet,all_datasets,0.787,0.855
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768
hr_hrv_eda,Stress-Predict,other_datasets_only,0.646,0.702
hr_hrv_eda,Stress-Predict,all_datasets,0.69,0.748
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.839,0.91
hr_hrv_eda,UBFC-Phys,all_datasets,0.831,0.922
hr_hrv_eda,WESAD,within_dataset,0.916,0.977
hr_hrv_eda,WESAD,other_datasets_only,0.884,0.964
hr_hrv_eda,WESAD,all_datasets,0.919,0.979
