test_dataset,trained_on,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std
PhysioNet,PhysioNet (other subjects),0.761,0.051,0.852,0.042
PhysioNet,WESAD only,0.704,0.07,0.784,0.059
PhysioNet,both datasets,0.749,0.051,0.853,0.035
WESAD,WESAD (other subjects),0.9,0.069,0.973,0.022
WESAD,PhysioNet only,0.848,0.039,0.942,0.021
WESAD,both datasets,0.933,0.032,0.986,0.01
