features,test_dataset,trained_on,split,balanced_accuracy,auroc,exercise_called_stress
physiology,Campanella2024,within_dataset,0,1.0,1.0,
physiology,Campanella2024,other_datasets_only,0,0.9291666666666667,0.9708333333333332,
physiology,Campanella2024,all_datasets,0,0.975,0.98125,
physiology,Campanella2024,within_dataset,1,0.893939393939394,0.946969696969697,
physiology,Campanella2024,other_datasets_only,1,0.8712121212121212,0.884469696969697,
physiology,Campanella2024,all_datasets,1,0.893939393939394,0.9185606060606061,
physiology,Campanella2024,within_dataset,2,0.8541666666666667,0.9288194444444444,
physiology,Campanella2024,other_datasets_only,2,0.75,0.8159722222222222,
physiology,Campanella2024,all_datasets,2,0.7916666666666667,0.842013888888889,
physiology,Campanella2024,within_dataset,3,0.9166666666666667,0.9924242424242425,
physiology,Campanella2024,other_datasets_only,3,0.759469696969697,0.8106060606060607,
physiology,Campanella2024,all_datasets,3,0.8068181818181819,0.8446969696969697,
physiology,Campanella2024,within_dataset,4,0.9166666666666667,0.9045138888888888,
physiology,Campanella2024,other_datasets_only,4,0.8541666666666666,0.9010416666666666,
physiology,Campanella2024,all_datasets,4,0.8958333333333334,0.920138888888889,
physiology,Campanella2024,within_dataset,5,0.8114035087719298,0.8903508771929824,
physiology,Campanella2024,other_datasets_only,5,0.7489035087719298,0.8377192982456141,
physiology,Campanella2024,all_datasets,5,0.8377192982456141,0.8728070175438596,
physiology,Campanella2024,within_dataset,6,0.9210526315789473,1.0,
physiology,Campanella2024,other_datasets_only,6,0.9210526315789473,0.9758771929824561,
physiology,Campanella2024,all_datasets,6,0.9736842105263157,0.993421052631579,
physiology,Campanella2024,within_dataset,7,0.9791666666666667,0.998015873015873,
physiology,Campanella2024,other_datasets_only,7,0.8363095238095238,0.9107142857142857,
physiology,Campanella2024,all_datasets,7,0.9047619047619048,0.9424603174603174,
physiology,Campanella2024,within_dataset,8,0.9791666666666667,1.0,
physiology,Campanella2024,other_datasets_only,8,0.8505434782608696,0.9384057971014493,
physiology,Campanella2024,all_datasets,8,0.9157608695652174,0.9818840579710145,
physiology,Campanella2024,within_dataset,9,0.7916666666666667,0.9348958333333333,
physiology,Campanella2024,other_datasets_only,9,0.59375,0.6770833333333333,
physiology,Campanella2024,all_datasets,9,0.75,0.7682291666666667,
physiology,Campanella2024,within_dataset,10,0.75,0.7698412698412699,
physiology,Campanella2024,other_datasets_only,10,0.6279761904761905,0.6984126984126984,
physiology,Campanella2024,all_datasets,10,0.7827380952380952,0.8174603174603174,
physiology,Campanella2024,within_dataset,11,0.9375,0.9861111111111112,
physiology,Campanella2024,other_datasets_only,11,0.6666666666666666,0.7708333333333333,
physiology,Campanella2024,all_datasets,11,0.8194444444444444,0.8217592592592593,
physiology,Campanella2024,within_dataset,12,0.9166666666666667,0.9742063492063492,
physiology,Campanella2024,other_datasets_only,12,0.6428571428571428,0.751984126984127,
physiology,Campanella2024,all_datasets,12,0.8035714285714286,0.8670634920634921,
physiology,Campanella2024,within_dataset,13,0.9782608695652174,0.9963768115942029,
physiology,Campanella2024,other_datasets_only,13,0.8913043478260869,0.9347826086956522,
physiology,Campanella2024,all_datasets,13,0.9347826086956521,0.9782608695652173,
physiology,Campanella2024,within_dataset,14,0.9166666666666667,0.9345238095238095,
physiology,Campanella2024,other_datasets_only,14,0.8005952380952381,0.8194444444444444,
physiology,Campanella2024,all_datasets,14,0.8452380952380952,0.8571428571428571,
physiology,Campanella2024,within_dataset,15,0.9047619047619048,0.9781746031746033,
physiology,Campanella2024,other_datasets_only,15,0.8452380952380952,0.9404761904761905,
physiology,Campanella2024,all_datasets,15,0.9583333333333333,0.988095238095238,
physiology,Campanella2024,within_dataset,16,0.8422619047619048,0.9404761904761905,
physiology,Campanella2024,other_datasets_only,16,0.8482142857142857,0.9166666666666666,
physiology,Campanella2024,all_datasets,16,0.9166666666666667,0.9384920634920635,
physiology,Campanella2024,within_dataset,17,0.8913043478260869,0.9891304347826086,
physiology,Campanella2024,other_datasets_only,17,0.9347826086956521,0.9655797101449275,
physiology,Campanella2024,all_datasets,17,0.9148550724637681,0.980072463768116,
physiology,Campanella2024,within_dataset,18,0.975,1.0,
physiology,Campanella2024,other_datasets_only,18,0.95,0.9916666666666667,
physiology,Campanella2024,all_datasets,18,0.975,0.9916666666666667,
physiology,Campanella2024,within_dataset,19,0.7619047619047619,0.9652777777777778,
physiology,Campanella2024,other_datasets_only,19,0.7916666666666666,0.8591269841269841,
physiology,Campanella2024,all_datasets,19,0.8809523809523809,0.8690476190476191,
physiology,PhysioNet,within_dataset,0,0.836932117415528,0.9509105524295258,0.0017793594306049821
physiology,PhysioNet,other_datasets_only,0,0.5365468303905536,0.5521800593175707,0.7615658362989324
physiology,PhysioNet,all_datasets,0,0.797585719433434,0.909554563849544,0.014234875444839857
physiology,PhysioNet,within_dataset,1,0.838200813225299,0.958745139940047,0.0011904761904761906
physiology,PhysioNet,other_datasets_only,1,0.5736057934882617,0.5207609889294512,0.7714285714285715
physiology,PhysioNet,all_datasets,1,0.9246431009408482,0.960496245510937,0.009523809523809525
physiology,PhysioNet,within_dataset,2,0.7401185770750989,0.8911696011498383,0.02699055330634278
physiology,PhysioNet,other_datasets_only,2,0.5419960474308301,0.5482168523176429,0.5843454790823212
physiology,PhysioNet,all_datasets,2,0.7663043478260869,0.8588753144089112,0.07017543859649122
physiology,PhysioNet,within_dataset,3,0.8071296105501752,0.9172264578611168,0.0
physiology,PhysioNet,other_datasets_only,3,0.6253657531423862,0.6944570368844014,0.6823529411764706
physiology,PhysioNet,all_datasets,3,0.8727282093550381,0.9321244590974656,0.01045751633986928
physiology,PhysioNet,within_dataset,4,0.7491161616161616,0.9178451178451178,0.00909090909090909
physiology,PhysioNet,other_datasets_only,4,0.5178030303030303,0.5613636363636364,0.6836363636363636
physiology,PhysioNet,all_datasets,4,0.7825757575757576,0.9128507295173962,0.007272727272727273
physiology,PhysioNet,within_dataset,5,0.81,0.9308529411764705,0.0
physiology,PhysioNet,other_datasets_only,5,0.5958823529411764,0.5937058823529412,0.590032154340836
physiology,PhysioNet,all_datasets,5,0.8279411764705882,0.9475588235294117,0.003215434083601286
physiology,PhysioNet,within_dataset,6,0.9511380177319042,0.9885205769485246,0.0
physiology,PhysioNet,other_datasets_only,6,0.5871873759428344,0.4937475188566892,0.8342245989304813
physiology,PhysioNet,all_datasets,6,0.9520973931454281,0.990174672489083,0.0
physiology,PhysioNet,within_dataset,7,0.8301400505738183,0.9391817415548207,0.020316027088036117
physiology,PhysioNet,other_datasets_only,7,0.5479397652856124,0.5822472930039552,0.7234762979683973
physiology,PhysioNet,all_datasets,7,0.8442828891914673,0.9456979835310899,0.012415349887133182
physiology,PhysioNet,within_dataset,8,0.7515047912553571,0.9381470602398035,0.03937007874015748
physiology,PhysioNet,other_datasets_only,8,0.5339119757307267,0.5086194443106853,0.7997750281214848
physiology,PhysioNet,all_datasets,8,0.8647854769586363,0.9380026002792893,0.06524184476940383
physiology,PhysioNet,within_dataset,9,0.7662918108419838,0.9237566999117987,0.032805429864253395
physiology,PhysioNet,other_datasets_only,9,0.5790080738177624,0.6263823868647804,0.6628959276018099
physiology,PhysioNet,all_datasets,9,0.8075259515570934,0.9301682610760568,0.029411764705882353
physiology,PhysioNet,within_dataset,10,0.8420141600291531,0.949346660419595,0.0247074122236671
physiology,PhysioNet,other_datasets_only,10,0.5776328804206362,0.5419334686865531,0.8634590377113134
physiology,PhysioNet,all_datasets,10,0.90612473319798,0.9672549325836847,0.02600780234070221
physiology,PhysioNet,within_dataset,11,0.8022770812619735,0.9158765186604263,0.0
physiology,PhysioNet,other_datasets_only,11,0.4829885782185901,0.5103184033756093,0.8796561604584527
physiology,PhysioNet,all_datasets,11,0.8355481727574751,0.9280985522710188,0.008595988538681949
physiology,PhysioNet,within_dataset,12,0.8874800637958533,0.9601541733120681,0.015531660692951015
physiology,PhysioNet,other_datasets_only,12,0.4854864433811802,0.4586124401913876,0.8064516129032258
physiology,PhysioNet,all_datasets,12,0.7783094098883572,0.9231525784157364,0.05973715651135006
physiology,PhysioNet,within_dataset,13,0.8048359240069085,0.93811168681635,0.00798175598631699
physiology,PhysioNet,other_datasets_only,13,0.5914137675795708,0.5817501439263097,0.6590649942987458
physiology,PhysioNet,all_datasets,13,0.8395016037503085,0.9086890369273789,0.01596351197263398
physiology,PhysioNet,within_dataset,14,0.8228320318674718,0.9205842369827069,0.007960199004975124
physiology,PhysioNet,other_datasets_only,14,0.6508093326167368,0.7171761879169168,0.5462686567164179
physiology,PhysioNet,all_datasets,14,0.8744032752679334,0.9171066358951662,0.014925373134328358
physiology,PhysioNet,within_dataset,15,0.851544289044289,0.938738344988345,0.02364864864864865
physiology,PhysioNet,other_datasets_only,15,0.5694201631701632,0.5621600621600622,0.6334459459459459
physiology,PhysioNet,all_datasets,15,0.816215034965035,0.9183663558663558,0.011824324324324325
physiology,PhysioNet,within_dataset,16,0.8386041439476555,0.9659344653892091,0.0014388489208633094
physiology,PhysioNet,other_datasets_only,16,0.623773173391494,0.6805577192709145,0.5510791366906475
physiology,PhysioNet,all_datasets,16,0.8936750272628136,0.9677260217063924,0.004316546762589928
physiology,PhysioNet,within_dataset,17,0.7790454432853486,0.9325094272109218,0.01855287569573284
physiology,PhysioNet,other_datasets_only,17,0.6100162395750186,0.6537942803666291,0.6901669758812616
physiology,PhysioNet,all_datasets,17,0.8595552007927114,0.9325094272109218,0.06679035250463822
physiology,PhysioNet,within_dataset,18,0.8982251492995479,0.9666517832226378,0.004622496147919877
physiology,PhysioNet,other_datasets_only,18,0.5537059775632082,0.6210861193280125,0.7057010785824345
physiology,PhysioNet,all_datasets,18,0.8536306301278116,0.9554054808282636,0.01078582434514638
physiology,PhysioNet,within_dataset,19,0.744846423417852,0.9073180787466502,0.011890606420927468
physiology,PhysioNet,other_datasets_only,19,0.522634508348794,0.5594928880643166,0.6373365041617123
physiology,PhysioNet,all_datasets,19,0.7994537208822923,0.8888064316635745,0.0178359096313912
physiology,Stress-Predict,within_dataset,0,0.7330405996466614,0.8103806109672219,
physiology,Stress-Predict,other_datasets_only,0,0.684696660434641,0.7611619011680759,
physiology,Stress-Predict,all_datasets,0,0.7025951527418055,0.8007324059621619,
physiology,Stress-Predict,within_dataset,1,0.7169717772692601,0.7753165522501906,
physiology,Stress-Predict,other_datasets_only,1,0.6729595728451564,0.7402593440122044,
physiology,Stress-Predict,all_datasets,1,0.6875286041189932,0.7777116704805492,
physiology,Stress-Predict,within_dataset,2,0.6483081869111281,0.705325311942959,
physiology,Stress-Predict,other_datasets_only,2,0.6105248917748918,0.6483798064680417,
physiology,Stress-Predict,all_datasets,2,0.602105614973262,0.7042669340463458,
physiology,Stress-Predict,within_dataset,3,0.7101297405189622,0.7812707917498337,
physiology,Stress-Predict,other_datasets_only,3,0.6810545575515635,0.7356121091151032,
physiology,Stress-Predict,all_datasets,3,0.6902195608782435,0.7834996673320027,
physiology,Stress-Predict,within_dataset,4,0.7398458873617924,0.8171045602447671,
physiology,Stress-Predict,other_datasets_only,4,0.7216259530862998,0.7866543635568938,
physiology,Stress-Predict,all_datasets,4,0.734900360999142,0.8219286743399219,
physiology,Stress-Predict,within_dataset,5,0.7273391372454512,0.8464122183395589,
physiology,Stress-Predict,other_datasets_only,5,0.6735600674780093,0.7522442462947343,
physiology,Stress-Predict,all_datasets,5,0.7342827449090252,0.8063170261477287,
physiology,Stress-Predict,within_dataset,6,0.7087915371742768,0.8136056657901027,
physiology,Stress-Predict,other_datasets_only,6,0.6564666507291417,0.7069089170451828,
physiology,Stress-Predict,all_datasets,6,0.68392899832656,0.7764762132440832,
physiology,Stress-Predict,within_dataset,7,0.7709313179908808,0.8505187951028614,
physiology,Stress-Predict,other_datasets_only,7,0.655746239184289,0.7514450867052023,
physiology,Stress-Predict,all_datasets,7,0.7467328474491077,0.8268588661903565,
physiology,Stress-Predict,within_dataset,8,0.6987232439169311,0.7653725200353607,
physiology,Stress-Predict,other_datasets_only,8,0.6397547932698577,0.6909119893337972,
physiology,Stress-Predict,all_datasets,8,0.6871947596481311,0.7650102169470891,
physiology,Stress-Predict,within_dataset,9,0.7030145301029145,0.7980027466472254,
physiology,Stress-Predict,other_datasets_only,9,0.6564825960902664,0.7432647801834489,
physiology,Stress-Predict,all_datasets,9,0.6949102253268001,0.8043776809481018,
physiology,Stress-Predict,within_dataset,10,0.7408163265306122,0.8284334023464459,
physiology,Stress-Predict,other_datasets_only,10,0.6310263235729074,0.7258601991521246,
physiology,Stress-Predict,all_datasets,10,0.7459627329192546,0.8202701370403234,
physiology,Stress-Predict,within_dataset,11,0.6831761006289307,0.7280410234419668,
physiology,Stress-Predict,other_datasets_only,11,0.5684408947970269,0.6359080188679246,
physiology,Stress-Predict,all_datasets,11,0.6224003001715266,0.7005610348770726,
physiology,Stress-Predict,within_dataset,12,0.7072639462219974,0.783272691673873,
physiology,Stress-Predict,other_datasets_only,12,0.6658698950872097,0.7259540863776535,
physiology,Stress-Predict,all_datasets,12,0.687872211979311,0.7796994566724861,
physiology,Stress-Predict,within_dataset,13,0.6818223220791839,0.7743198931260626,
physiology,Stress-Predict,other_datasets_only,13,0.6302981539956278,0.6977699174155939,
physiology,Stress-Predict,all_datasets,13,0.6622996113675006,0.7676099101287345,
physiology,Stress-Predict,within_dataset,14,0.7219051349486132,0.7902560946039207,
physiology,Stress-Predict,other_datasets_only,14,0.6455617107791021,0.7024602241993547,
physiology,Stress-Predict,all_datasets,14,0.6848805327066196,0.7681345942215507,
physiology,Stress-Predict,within_dataset,15,0.6540729635182408,0.7107946026986507,
physiology,Stress-Predict,other_datasets_only,15,0.5329085457271364,0.5639513576545061,
physiology,Stress-Predict,all_datasets,15,0.6015492253873063,0.6637181409295354,
physiology,Stress-Predict,within_dataset,16,0.6866406136922854,0.7606227901494944,
physiology,Stress-Predict,other_datasets_only,16,0.6988710377768128,0.7267332464900854,
physiology,Stress-Predict,all_datasets,16,0.690620929222753,0.7732977689556065,
physiology,Stress-Predict,within_dataset,17,0.7433818433818433,0.7903133903133903,
physiology,Stress-Predict,other_datasets_only,17,0.6831523831523831,0.7430815430815431,
physiology,Stress-Predict,all_datasets,17,0.7183953183953184,0.7743358743358744,
physiology,Stress-Predict,within_dataset,18,0.7053973846251508,0.769932711229607,
physiology,Stress-Predict,other_datasets_only,18,0.616676188662477,0.6603662794388371,
physiology,Stress-Predict,all_datasets,18,0.6310385323430459,0.7299244588332382,
physiology,Stress-Predict,within_dataset,19,0.7679908824487138,0.8223502116574406,
physiology,Stress-Predict,other_datasets_only,19,0.7504070335395636,0.7837430804298274,
physiology,Stress-Predict,all_datasets,19,0.7686828394659719,0.8321597199609247,
physiology,UBFC-Phys,within_dataset,0,0.8,0.9175000000000001,
physiology,UBFC-Phys,other_datasets_only,0,0.55,0.975,
physiology,UBFC-Phys,all_datasets,0,0.825,0.955,
physiology,UBFC-Phys,within_dataset,1,0.775,1.0,
physiology,UBFC-Phys,other_datasets_only,1,0.5,0.9,
physiology,UBFC-Phys,all_datasets,1,0.8,0.9700000000000001,
physiology,UBFC-Phys,within_dataset,2,0.95,0.9912500000000001,
physiology,UBFC-Phys,other_datasets_only,2,0.5625,0.9725,
physiology,UBFC-Phys,all_datasets,2,0.8375,0.9500000000000001,
physiology,UBFC-Phys,within_dataset,3,0.875,0.885,
physiology,UBFC-Phys,other_datasets_only,3,0.7,0.935,
physiology,UBFC-Phys,all_datasets,3,0.85,0.9700000000000001,
physiology,UBFC-Phys,within_dataset,4,0.9333333333333333,0.9816666666666667,
physiology,UBFC-Phys,other_datasets_only,4,0.55,0.9966666666666667,
