features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
hr_hrv_eda,Stress-Predict,other_datasets_only,balanced_accuracy,0.6162,0.6456,-0.0294,-1.2482,0.2271,20,1.0,raw
hr_hrv_eda,Stress-Predict,other_datasets_only,auroc,0.6724,0.7015,-0.0291,-1.2531,0.2254,20,1.0,raw
hr_hrv_eda,Stress-Predict,all_datasets,balanced_accuracy,0.6466,0.6886,-0.042,-1.7151,0.1026,20,1.0,raw
hr_hrv_eda,Stress-Predict,all_datasets,auroc,0.7076,0.7476,-0.04,-1.5054,0.1487,20,1.0,raw
hr_hrv_eda,UBFC-Phys,within_dataset,balanced_accuracy,0.7373,0.8767,-0.1394,-1.9662,0.0641,20,1.0,raw
hr_hrv_eda,UBFC-Phys,within_dataset,auroc,0.8601,0.9518,-0.0916,-1.3128,0.2049,20,1.0,raw
hr_hrv_eda,UBFC-Phys,other_datasets_only,balanced_accuracy,0.7244,0.8373,-0.1129,-1.2519,0.2258,20,1.0,raw
hr_hrv_eda,UBFC-Phys,other_datasets_only,auroc,0.8204,0.904,-0.0836,-0.9539,0.3521,20,1.0,raw
hr_hrv_eda,UBFC-Phys,all_datasets,balanced_accuracy,0.7488,0.8392,-0.0904,-1.1923,0.2478,20,1.0,raw
hr_hrv_eda,UBFC-Phys,all_datasets,auroc,0.8412,0.9221,-0.0809,-1.0357,0.3133,20,1.0,raw
hr_hrv_eda,WESAD,within_dataset,balanced_accuracy,0.8336,0.9158,-0.0822,-1.5741,0.132,20,1.0,raw
hr_hrv_eda,WESAD,within_dataset,auroc,0.9233,0.9768,-0.0535,-1.4467,0.1643,20,1.0,raw
hr_hrv_eda,WESAD,other_datasets_only,balanced_accuracy,0.8071,0.8842,-0.0771,-1.515,0.1462,20,1.0,raw
hr_hrv_eda,WESAD,other_datasets_only,auroc,0.8862,0.9693,-0.0831,-1.6979,0.1058,20,1.0,raw
hr_hrv_eda,WESAD,all_datasets,balanced_accuracy,0.8563,0.9207,-0.0644,-1.914,0.0708,20,1.0,raw
hr_hrv_eda,WESAD,all_datasets,auroc,0.9401,0.9794,-0.0394,-1.4305,0.1688,20,1.0,raw
physiology,Campanella2024,within_dataset,balanced_accuracy,0.9881,0.8969,0.0912,2.4507,0.0241,20,1.0,baseline
physiology,Campanella2024,within_dataset,auroc,1.0,0.9565,0.0435,1.4255,0.1702,20,1.0,baseline
physiology,Campanella2024,other_datasets_only,balanced_accuracy,0.7874,0.8269,-0.0396,-0.9109,0.3738,20,1.0,baseline
physiology,Campanella2024,other_datasets_only,auroc,0.898,0.9215,-0.0235,-0.5934,0.5599,20,1.0,baseline
physiology,Campanella2024,all_datasets,balanced_accuracy,0.9376,0.8947,0.0429,1.1455,0.2662,20,1.0,baseline
physiology,Campanella2024,all_datasets,auroc,0.9819,0.947,0.0349,1.3101,0.2058,20,1.0,baseline
physiology,PhysioNet,within_dataset,balanced_accuracy,0.7501,0.7604,-0.0103,-0.4506,0.6574,20,1.0,baseline
physiology,PhysioNet,within_dataset,auroc,0.8338,0.8527,-0.019,-0.6471,0.5253,20,1.0,baseline
physiology,PhysioNet,other_datasets_only,balanced_accuracy,0.6991,0.7352,-0.0361,-1.1084,0.2815,20,1.0,baseline
physiology,PhysioNet,other_datasets_only,auroc,0.8017,0.8001,0.0016,0.0395,0.9689,20,1.0,baseline
