Dataset,Subjects,Mean LOSO Acc,Std LOSO Acc,Min Acc,Max Acc
WESAD,15,0.6049672211164271,0.13077236611019957,0.3258426966292135,0.8160919540229885
PhysioNet,41,0.6996996139028703,0.15967925509422803,0.2777777777777778,0.9496402877697842
