train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
WESAD,PhysioNet,none,source_only,0,0.5386837389171855,0.4956313894888409,0.512191096019619
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0,0.6972602739726027,0.5665250081726054,0.7616438356164383
WESAD,PhysioNet,none,coral,0,0.5346514808526693,0.4902764565135922,0.51747311827957
WESAD,PhysioNet,none,mmd,0,0.5587389171854367,0.5342241629944646,0.5564044519901905
WESAD,PhysioNet,none,dann,0,0.5487643840784757,0.508871523787635,0.5591869458592719
WESAD,PhysioNet,none,subject_dann,0,0.4935271646859083,0.4144738798204145,0.5433880399924543
WESAD,PhysioNet,none,source_only,1,0.5326353518204112,0.4875859522820619,0.5170722505187701
WESAD,PhysioNet,none,finetune_k5 (uses target labels),1,0.9383561643835616,0.730311179408375,0.9890410958904109
WESAD,PhysioNet,none,coral,1,0.5434234106772307,0.4966966966966967,0.529782116581777
WESAD,PhysioNet,none,mmd,1,0.561262026032824,0.5308057955116778,0.5654829277494813
WESAD,PhysioNet,none,dann,1,0.5713426711941143,0.5433099174261143,0.5793246557253349
WESAD,PhysioNet,none,subject_dann,1,0.495437181663837,0.4383770805165742,0.515704584040747
WESAD,PhysioNet,none,source_only,2,0.5308196566685531,0.4886478769457493,0.5175910205621581
WESAD,PhysioNet,none,finetune_k5 (uses target labels),2,0.7315068493150685,0.6231884057971014,0.8356164383561643
WESAD,PhysioNet,none,coral,2,0.5290039615166949,0.4896115835440129,0.5210809281267685
WESAD,PhysioNet,none,mmd,2,0.5697274099226561,0.5463300661043994,0.5626061120543293
WESAD,PhysioNet,none,dann,2,0.5464417091114884,0.5164427076191782,0.5534568949254858
WESAD,PhysioNet,none,subject_dann,2,0.48303386153555933,0.4352152357150708,0.4872429730239578
WESAD,PhysioNet,none,source_only,3,0.5368680437653273,0.4966055610165497,0.5131814751933598
WESAD,PhysioNet,none,finetune_k5 (uses target labels),3,0.904109589041096,0.6553030303030303,0.9232876712328768
WESAD,PhysioNet,none,coral,3,0.5173080550839464,0.4808645374449339,0.5240284851914734
WESAD,PhysioNet,none,mmd,3,0.5232503301263912,0.5009090339163689,0.5447085455574421
WESAD,PhysioNet,none,dann,3,0.5567227881531787,0.5317688378033205,0.5781692133559706
WESAD,PhysioNet,none,subject_dann,3,0.4984554800980947,0.46119224763479383,0.4871722316544048
WESAD,PhysioNet,none,source_only,4,0.5416077155253726,0.4977872026553568,0.5154923599320883
WESAD,PhysioNet,none,finetune_k5 (uses target labels),4,0.8972602739726028,0.6427480916030535,0.9643835616438355
WESAD,PhysioNet,none,coral,4,0.5460408413506885,0.5100875785226282,0.5358894548198454
WESAD,PhysioNet,none,mmd,4,0.5652942840973402,0.5358268615806304,0.5649641577060932
WESAD,PhysioNet,none,dann,4,0.5794071873231466,0.5532004675961566,0.5658602150537634
WESAD,PhysioNet,none,subject_dann,4,0.5328357857008111,0.4913088258140244,0.54223259762309
WESAD,PhysioNet,none,source_only,5,0.528803527636295,0.4859784017278618,0.5176853423882287
WESAD,PhysioNet,none,finetune_k5 (uses target labels),5,0.8904109589041096,0.6307692307692307,0.9397260273972603
WESAD,PhysioNet,none,coral,5,0.529911809092624,0.4891419369680239,0.5340265987549518
WESAD,PhysioNet,none,mmd,5,0.5338379551028107,0.5075425624172714,0.5594934917940011
WESAD,PhysioNet,none,dann,5,0.5724509526504433,0.545957475931925,0.5821307300509339
WESAD,PhysioNet,none,subject_dann,5,0.4992690058479532,0.43955491954090126,0.5232503301263913
WESAD,PhysioNet,none,source_only,6,0.5394854744387851,0.5091293539446238,0.5274240709300132
WESAD,PhysioNet,none,finetune_k5 (uses target labels),6,0.8246575342465754,0.6558823529411765,0.947945205479452
WESAD,PhysioNet,none,coral,6,0.5316213921901528,0.5020796197266786,0.5318571967553292
WESAD,PhysioNet,none,mmd,6,0.5486582720241464,0.5218859829293898,0.5462176947745709
WESAD,PhysioNet,none,dann,6,0.5497665534804754,0.5245288398483163,0.5589983022071308
WESAD,PhysioNet,none,subject_dann,6,0.4872547632522166,0.47250562533823237,0.5015563101301642
WESAD,PhysioNet,none,source_only,7,0.5315270703640822,0.4843032225631425,0.5211516694963214
WESAD,PhysioNet,none,finetune_k5 (uses target labels),7,0.9315068493150684,0.7132352941176471,0.9753424657534246
WESAD,PhysioNet,none,coral,7,0.5414072816449726,0.4939876690877783,0.5244293529522732
WESAD,PhysioNet,none,mmd,7,0.5508748349368043,0.5271203830369358,0.5635729107715526
WESAD,PhysioNet,none,dann,7,0.5625707413695529,0.5363986859515445,0.5699160535747972
WESAD,PhysioNet,none,subject_dann,7,0.5631720430107526,0.5441527446300716,0.5755282022259952
WESAD,PhysioNet,none,source_only,8,0.5286030937558951,0.48217833217833217,0.5216232786266742
WESAD,PhysioNet,none,finetune_k5 (uses target labels),8,0.8246575342465754,0.6558823529411765,0.9205479452054793
WESAD,PhysioNet,none,coral,8,0.527695246179966,0.4827518574922701,0.5251367666478023
WESAD,PhysioNet,none,mmd,8,0.5722505187700434,0.5431117657469413,0.5614742501414827
WESAD,PhysioNet,none,dann,8,0.5524900962082626,0.5239750857782268,0.5692322203357857
WESAD,PhysioNet,none,subject_dann,8,0.5320340501792115,0.47538682832800483,0.5611441237502358
WESAD,PhysioNet,none,source_only,9,0.5226490284851915,0.49222572826633737,0.5205857385398982
