labels,normalisation,train,test,modality,n_train,n_test,test_pct_high,accuracy,balanced_accuracy,macro_f1,auroc
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,all_modalities,981,855,59.3,0.4257309941520468,0.487842617152962,0.38960627310940865,0.5475809925412047
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,acc_only,981,855,59.3,0.4070175438596491,0.5,0.2892768079800499,0.409468589176812
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,all_except_acc,981,855,59.3,0.46900584795321637,0.513517649459294,0.457784370914211,0.5047864381418758
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,physiology_only,981,855,59.3,0.47017543859649125,0.51360266612256,0.45988779823204823,0.4951427146387359
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,all_modalities,855,981,22.6,0.2793068297655454,0.5167272015098102,0.2625213061309555,0.5150981020546238
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,acc_only,855,981,22.6,0.20795107033639143,0.4275896449809493,0.18517849411789858,0.44023074457857064
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,all_except_acc,855,981,22.6,0.31906218144750254,0.5424189011145533,0.31055045871559633,0.5427660862443471
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,physiology_only,855,981,22.6,0.3506625891946993,0.5214097496706193,0.35020614858295596,0.5413803131194435
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,all_modalities,981,855,59.3,0.44678362573099417,0.5100999795960008,0.4112676056338028,0.5332188442268018
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,acc_only,981,855,59.3,0.44678362573099417,0.5137046861184793,0.4052274508823456,0.5683307261556598
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,all_except_acc,981,855,59.3,0.4631578947368421,0.5342702169625246,0.41640481752845143,0.5354292774717178
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,physiology_only,981,855,59.3,0.47017543859649125,0.5401873767258383,0.42647953812141937,0.5256863678614342
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,all_modalities,855,981,22.6,0.4026503567787971,0.5916568742655699,0.402376497005988,0.6904770383031253
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,acc_only,855,981,22.6,0.43934760448521915,0.6058113449417797,0.43892258161126085,0.6095858704554357
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,all_except_acc,855,981,22.6,0.509683995922528,0.6640138161877293,0.5064014117730744,0.7784899524029958
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,physiology_only,855,981,22.6,0.44240570846075433,0.5998201759071324,0.44147712074074613,0.7231243100808318
