level,feature,mean,std,min,max,count
0,hr_mean,78.51513296551876,4.63180106010027,69.79951884522855,87.66657817892221,6510
0,eda_mean,2.737161299704301,3.2591219644393417,0.0048619541666666,13.287453195833333,6510
0,temp_mean,32.30490921658986,2.245922829890398,23.50633333333333,65.53533333333333,6510
0,acc_mag_mean,64.11894196828821,1.0566448157481798,60.99581335699996,69.9353915689883,6510
1,hr_mean,78.56363291134878,11.601208588643178,60.87186261558784,96.5845909451946,2565
1,eda_mean,6.4962604933577,6.675632896884319,0.0322712291666666,21.284254924999995,2565
1,temp_mean,32.97250168940871,3.520745618387129,23.932666666666663,99.2515,2565
1,acc_mag_mean,64.16884848561266,1.0027695509164658,61.03536932785774,70.43858297223557,2565
2,hr_mean,79.30947819772537,17.248645715744644,52.029755579171095,105.53911205073996,818
2,eda_mean,12.794430831061531,11.760013380379844,0.0517053625,29.3188934625,818
2,temp_mean,33.71377750611247,4.756696845757193,28.72166666666666,112.94533333333337,818
2,acc_mag_mean,64.10103785872917,0.8850531601373589,61.33488709205162,67.15569435409076,818
3,hr_mean,79.72453090749411,13.287080428784543,17.26618705035971,114.46056449485624,392
3,eda_mean,20.113989748203657,19.623800504480553,0.0781791375,71.67775220416667,392
3,temp_mean,113.32708630952384,94.49843140041135,29.69933333333333,238.6500000000001,392
3,acc_mag_mean,74.71989804015438,26.16750247194642,61.58401495898809,142.77645707635094,392
4,hr_mean,82.8685679069824,13.039457405831417,50.36402569593148,113.17894736842103,226
4,eda_mean,11.561475773248524,13.626927899997986,0.0823105958333333,35.5417666625,226
4,temp_mean,135.12559734513277,99.4217034191606,29.66433333333333,238.6500000000001,226
4,acc_mag_mean,64.25279360676119,0.8510038700288386,61.42073858054673,65.63491387963113,226
