Model,Test Accuracy,Test F1,CV Accuracy
XGBoost,1.0,1.0,0.9512892415483656
Random Forest,1.0,1.0,0.931309945060588
MLP,1.0,1.0,0.8902106229467849
Soft Voting,1.0,1.0,0.9463422060732414
Stacking,1.0,1.0,0.9277896240837589
1D CNN,0.8844507932662964,0.8839944578861815,
DNN,0.5444602966308594,0.4907073078197573,
