dataset,score,curve,bin,n,n_subj,rate
UBFC-Phys,external,stress_recall_vs_min_since_onset,1-2,0,0,
UBFC-Phys,external,stress_recall_vs_min_since_onset,2-3,0,0,
UBFC-Phys,external,stress_recall_vs_min_since_onset,3-inf,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,0-1,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,1-2,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,2-5,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,5-10,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,10-inf,0,0,
UBFC-Phys,external,false_stress_vs_min_since_offset,no prior stressor,95,19,0.084
Campanella2024,within_LOSO,stress_recall_vs_min_since_onset,0-1,57,29,0.86
Campanella2024,within_LOSO,stress_recall_vs_min_since_onset,1-2,45,25,0.889
Campanella2024,within_LOSO,stress_recall_vs_min_since_onset,2-3,0,0,
Campanella2024,within_LOSO,stress_recall_vs_min_since_onset,3-inf,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,0-1,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,1-2,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,2-5,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,5-10,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,10-inf,0,0,
Campanella2024,within_LOSO,false_stress_vs_min_since_offset,no prior stressor,116,29,0.155
Campanella2024,external,stress_recall_vs_min_since_onset,0-1,57,29,0.912
Campanella2024,external,stress_recall_vs_min_since_onset,1-2,45,25,0.8
Campanella2024,external,stress_recall_vs_min_since_onset,2-3,0,0,
Campanella2024,external,stress_recall_vs_min_since_onset,3-inf,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,0-1,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,1-2,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,2-5,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,5-10,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,10-inf,0,0,
Campanella2024,external,false_stress_vs_min_since_offset,no prior stressor,116,29,0.129
