n,auc_pooled,auc_binned,lo,hi,bins,b_arousal,b_class,b_class_lo,b_class_hi,probe,stress_scope,score,index,n_stress,n_probe,arousal_stress_med,arousal_stress_iqr,arousal_probe_med,arousal_probe_iqr
1659,0.635,0.506,0.407,0.612,0.53 0.58 0.56 0.48 0.37,1.664,0.255,-0.175,0.703,Hyperventilation,pooled_stress,external,hr+eda,1606,53,0.714,1.297,0.295,0.967
1659,0.635,0.576,0.462,0.669,0.44 0.71 0.63 0.46 0.64,1.347,0.615,0.116,1.149,Hyperventilation,pooled_stress,external,eda_only,1606,53,0.683,1.776,0.178,1.096
1000,0.633,0.578,0.421,0.739,0.54 0.49 0.71 0.38 0.77,0.85,0.428,-0.4,1.291,Hyperventilation,pooled_stress,external,hr_only,1606,53,0.672,1.432,0.204,1.454
1659,0.66,0.595,0.524,0.666,0.55 0.62 0.54 0.75 0.52,1.439,0.266,0.003,0.577,Hyperventilation,pooled_stress,cond3_added_negative,hr+eda,1606,53,0.714,1.297,0.295,0.967
1659,0.66,0.631,0.523,0.742,0.41 0.73 0.62 0.64 0.76,1.101,0.591,0.218,0.984,Hyperventilation,pooled_stress,cond3_added_negative,eda_only,1606,53,0.683,1.776,0.178,1.096
1000,0.636,0.546,0.394,0.68,0.51 0.53 0.63 0.30 0.76,0.793,0.271,-0.277,0.789,Hyperventilation,pooled_stress,cond3_added_negative,hr_only,1606,53,0.672,1.432,0.204,1.454
1659,0.687,0.663,0.595,0.729,0.50 0.65 0.61 0.80 0.75,1.876,0.785,0.354,1.296,Hyperventilation,pooled_stress,within_LOSO,hr+eda,1606,53,0.714,1.297,0.295,0.967
1659,0.687,0.67,0.59,0.738,0.33 0.74 0.68 0.80 0.79,1.55,1.183,0.601,1.778,Hyperventilation,pooled_stress,within_LOSO,eda_only,1606,53,0.683,1.776,0.178,1.096
1000,0.66,0.577,0.481,0.685,0.56 0.62 0.53 0.41 0.77,0.717,0.744,0.21,1.263,Hyperventilation,pooled_stress,within_LOSO,hr_only,1606,53,0.672,1.432,0.204,1.454
190,0.587,0.577,0.491,0.658,0.59 0.50 0.74 0.54 0.52,1.018,0.266,0.034,0.516,UBFC Control task,same_dataset,external,hr+eda,110,80,0.487,0.827,0.194,1.149
190,0.587,0.586,0.485,0.688,0.69 0.59 0.67 0.57 0.41,0.627,0.22,-0.112,0.506,UBFC Control task,same_dataset,external,eda_only,110,80,0.593,0.972,0.423,1.464
