test_dataset,split,lr_ba,lr_auroc,index_ba,index_auroc,xgb_ba,xgb_auroc
Campanella2024,0,0.9791666666666667,1.0,0.9541666666666666,0.9979166666666667,1.0,1.0
Campanella2024,1,0.8106060606060606,0.9734848484848485,0.8295454545454546,0.9583333333333334,0.7859848484848485,0.8579545454545455
Campanella2024,2,0.7291666666666667,0.9704861111111112,0.7708333333333334,0.9461805555555556,0.7083333333333334,0.798611111111111
Campanella2024,3,0.831439393939394,0.9867424242424242,0.8731060606060606,0.9829545454545454,0.7840909090909092,0.8617424242424242
Campanella2024,4,0.875,0.9618055555555556,0.8541666666666666,0.9496527777777777,0.8541666666666667,0.8975694444444444
Campanella2024,5,0.7697368421052632,0.8267543859649122,0.7697368421052632,0.8223684210526315,0.8377192982456141,0.8793859649122806
Campanella2024,6,0.9528508771929824,0.9824561403508771,0.9265350877192983,0.9824561403508771,0.9473684210526316,0.9978070175438596
Campanella2024,7,0.9791666666666667,0.998015873015873,0.9791666666666667,1.0,0.9523809523809524,0.992063492063492
Campanella2024,8,0.8958333333333333,1.0,0.9375,1.0,0.8514492753623188,0.9184782608695652
Campanella2024,9,0.75,0.75,0.75,0.7942708333333334,0.8020833333333333,0.8489583333333333
Campanella2024,10,0.7321428571428572,0.8154761904761905,0.7321428571428572,0.8234126984126984,0.8244047619047619,0.8035714285714285
Campanella2024,11,0.8958333333333333,0.8634259259259259,0.8680555555555556,0.9583333333333333,0.8958333333333333,0.9074074074074074
Campanella2024,12,0.9166666666666667,1.0,0.9166666666666667,0.998015873015873,0.8690476190476191,0.9126984126984128
Campanella2024,13,0.9565217391304348,0.9855072463768116,0.9565217391304348,0.9855072463768116,0.8695652173913043,0.9692028985507246
Campanella2024,14,0.9166666666666667,0.988095238095238,0.9166666666666667,0.9742063492063493,0.9166666666666669,0.9305555555555556
Campanella2024,15,0.9553571428571428,0.996031746031746,0.9315476190476191,0.9880952380952381,0.9553571428571428,0.996031746031746
Campanella2024,16,0.9136904761904762,0.9940476190476191,0.8660714285714286,0.9781746031746031,0.9375,0.9404761904761904
Campanella2024,17,0.894927536231884,0.9891304347826086,0.9365942028985508,0.9818840579710145,0.8505434782608696,0.9420289855072465
Campanella2024,18,0.95,1.0,0.95,0.9979166666666667,0.85,0.9916666666666668
Campanella2024,19,0.8363095238095238,0.9007936507936507,0.8125,0.9067460317460317,0.8571428571428572,0.9305555555555556
PhysioNet,0,0.6226076555023923,0.6668261562998405,0.6594497607655503,0.7359649122807018,0.669976076555024,0.718261562998405
PhysioNet,1,0.7578595317725753,0.8319955406911929,0.762876254180602,0.8434782608695652,0.805685618729097,0.9079152731326644
PhysioNet,2,0.7997336377473363,0.8490867579908676,0.810882800608828,0.8686453576864536,0.8305175038051751,0.921689497716895
PhysioNet,3,0.7618511851185119,0.8167566756675666,0.7655265526552655,0.8254575457545754,0.7701020102010201,0.8482598259825982
PhysioNet,4,0.7874626671860797,0.855473315153876,0.7910336319958446,0.8754707180885599,0.7827554863004804,0.8505388910531101
PhysioNet,5,0.7201582387340901,0.7861713106295151,0.7319917440660475,0.8133470932232542,0.7513931888544891,0.8316477468180254
PhysioNet,6,0.6852091633466135,0.725199203187251,0.7105577689243028,0.7675298804780877,0.6616533864541833,0.7439243027888446
PhysioNet,7,0.727759009009009,0.8066816816816815,0.7415540540540541,0.8083708708708708,0.7801238738738738,0.8602665165165165
PhysioNet,8,0.7847222222222222,0.8448302469135802,0.7902777777777779,0.8496141975308642,0.8041666666666667,0.9093364197530864
PhysioNet,9,0.7278260869565217,0.7114492753623187,0.7068840579710145,0.7202898550724639,0.7859420289855072,0.8462318840579709
PhysioNet,10,0.7375826649781905,0.7809905726748275,0.7743421978331223,0.8277050794990854,0.7086675109047418,0.7347685380610665
PhysioNet,11,0.7655553196007645,0.8222552558929709,0.7820485594960005,0.8446237700856515,0.7647766687902597,0.8467473632052098
PhysioNet,12,0.7298750867453158,0.777585010409438,0.7679562803608605,0.83206106870229,0.72441013185288,0.7590215128383068
PhysioNet,13,0.6116525423728814,0.6241525423728813,0.6538135593220339,0.6792372881355933,0.6184322033898305,0.5823093220338983
PhysioNet,14,0.6993380311765962,0.8173179585735639,0.7486653854366858,0.848814862267777,0.8171578048259662,0.9088191330343796
PhysioNet,15,0.7132899628252788,0.8047482257519433,0.7426072997634336,0.7877661372085164,0.8112115579587699,0.8857722203447111
PhysioNet,16,0.6782641227085672,0.7211934156378601,0.7143191170968949,0.7597268986157876,0.683361391694725,0.7196969696969696
PhysioNet,17,0.7162162162162162,0.7354883292383292,0.7057739557739557,0.7503839066339066,0.6934889434889435,0.7506910319410319
PhysioNet,18,0.7247154471544716,0.8015176151761517,0.7580487804878049,0.8383739837398374,0.7492140921409214,0.8042276422764227
PhysioNet,19,0.7110246433203631,0.7848681366191093,0.749935149156939,0.822481625594466,0.7071335927367055,0.7901426718547341
Stress-Predict,0,0.6896879984905919,0.7758185965935405,0.6749283888784069,0.7585118608600196,0.6504005077099878,0.7274489288348399
Stress-Predict,1,0.6969870327993898,0.7842715484363081,0.6943554538520214,0.7872768878718535,0.6997330282227308,0.7543096872616323
Stress-Predict,2,0.6272679526355996,0.6495893812070282,0.6132941813088872,0.6473453017570664,0.626965558950853,0.6429446778711485
Stress-Predict,3,0.656952761144378,0.7069028609447772,0.6725548902195608,0.713606121091151,0.6761809713905522,0.7136726546906187
Stress-Predict,4,0.7490084664821199,0.8462596927460218,0.7419260842115487,0.8427468311398183,0.699431790588121,0.7711945348291325
Stress-Predict,5,0.680322930473551,0.7955928425111459,0.6696439330039763,0.7889806000722978,0.6496791782142427,0.7198608266056151
Stress-Predict,6,0.6854530241453503,0.7808689935453024,0.6868575185273726,0.7947645230695672,0.6649832655988525,0.7020081281377002
Stress-Predict,7,0.6268445050802427,0.7170681793702653,0.629303845187233,0.7157038739094532,0.6198614152874017,0.7157756794600223
Stress-Predict,8,0.7019767256496094,0.7396490007680826,0.6777676332913062,0.7396924771386753,0.6578409634363723,0.7078532817413734
Stress-Predict,9,0.7073125243722554,0.7896441226835761,0.6985300350960479,0.765331208355233,0.6380783642189858,0.7243858191621031
Stress-Predict,10,0.6629695356403431,0.7474711623779947,0.6498669032830524,0.7383614315291334,0.6104406980183378,0.7207926648920439
Stress-Predict,11,0.5642867352773013,0.6369889937106918,0.5520118639222412,0.6147977415666095,0.5725057175528874,0.6146726700971984
Stress-Predict,12,0.721711889572354,0.7991809296937461,0.7252606503614025,0.8006330662924832,0.6729837328068657,0.7358743004454308
Stress-Predict,13,0.6193223220791838,0.7212624483847463,0.62622965751761,0.7184236094243381,0.6489100072868593,0.6771921301918873
Stress-Predict,14,0.6503366720758025,0.6888068192416019,0.636823158562289,0.6751347620912838,0.6456269934530804,0.7129520825172999
Stress-Predict,15,0.5318340829585207,0.5665833749791771,0.5333083458270864,0.561535898717308,0.5419540229885057,0.5407712810261536
Stress-Predict,16,0.6218700246055869,0.7052292041436635,0.6479229989868288,0.6982817443086657,0.6356202055290201,0.7183694146351549
Stress-Predict,17,0.7045199045199044,0.7875875875875875,0.7063833063833064,0.7839685839685839,0.6823515823515823,0.7316547316547317
Stress-Predict,18,0.5911572398908145,0.6929473751031549,0.6080587824541357,0.718577413825938,0.6179695930933791,0.6361010601155336
Stress-Predict,19,0.6534923477694562,0.7337593617714099,0.6925675675675675,0.753439433409313,0.700179094757408,0.7625976880494951
UBFC-Phys,0,0.85,0.9225,0.875,0.9325,0.8999999999999999,0.94
UBFC-Phys,1,0.8500000000000001,0.92,0.8500000000000001,0.92,0.9,0.8700000000000001
UBFC-Phys,2,0.8625,0.96375,0.8625,0.9637499999999999,0.875,0.94
UBFC-Phys,3,0.65,0.7599999999999999,0.65,0.725,0.8,0.9
UBFC-Phys,4,0.8666666666666667,0.9466666666666667,0.8666666666666667,0.935,0.8333333333333333,0.9666666666666668
UBFC-Phys,5,0.7749999999999999,0.87125,0.7875,0.8512500000000001,0.7875000000000001,0.875
UBFC-Phys,6,0.55,0.7050000000000001,0.55,0.61,0.675,0.72
UBFC-Phys,7,0.85,0.9199999999999999,0.875,0.9275,0.8999999999999999,0.9425
UBFC-Phys,8,0.75,0.8133333333333334,0.75,0.8033333333333333,0.8416666666666666,0.8816666666666667
UBFC-Phys,9,0.8125,0.93125,0.825,0.93625,0.925,0.99375
UBFC-Phys,10,0.625,0.76,0.625,0.7150000000000001,0.75,0.7825
UBFC-Phys,11,0.625,0.7975,0.625,0.7475,0.75,0.7675
UBFC-Phys,12,0.75,0.8150000000000001,0.7749999999999999,0.805,0.85,0.95
UBFC-Phys,13,0.7583333333333333,0.875,0.7583333333333333,0.8516666666666667,0.8083333333333333,0.9383333333333334
UBFC-Phys,14,0.925,0.9450000000000001,0.925,0.95,0.975,0.95
UBFC-Phys,15,0.725,0.8649999999999999,0.725,0.8025,0.8500000000000001,0.93
UBFC-Phys,16,0.75,0.805,0.75,0.77,0.9,1.0
UBFC-Phys,17,0.825,0.9324999999999999,0.85,0.9175,0.85,1.0
UBFC-Phys,18,0.575,0.6575000000000001,0.575,0.5775,0.675,0.7325
UBFC-Phys,19,0.75,0.7649999999999999,0.75,0.72,0.9,1.0
WESAD,0,0.916593018117543,0.9910148770069229,0.9302916482545294,0.9942554131683605,0.9302916482545294,0.99506554720872
WESAD,1,0.767242703533026,0.8559139784946236,0.7741551459293394,0.904531490015361,0.8865591397849462,0.9809523809523808
WESAD,2,0.7728369008139886,0.8684805547181189,0.7845191438046428,0.8531805848658426,0.8770726560144709,0.9699276454627674
WESAD,3,0.9403669724770642,0.9829510703363915,0.9495412844036697,0.9986238532110091,0.938914373088685,0.977217125382263
WESAD,4,0.7975522119919156,0.8996930908002096,0.8021184220375777,0.9336028145819298,0.910958904109589,0.9921401302492702
WESAD,5,0.9078341013824884,0.973195084485407,0.9239631336405529,0.9887864823348694,0.9173963133640552,0.9894777265745008
WESAD,6,0.7492063492063492,0.8551495016611295,0.7687707641196013,0.8541897379106681,0.8172019195275009,0.9327057954964932
WESAD,7,0.7897465437788018,0.8757920506912442,0.8012672811059908,0.8683755760368663,0.888608870967742,0.9704421082949308
WESAD,8,0.8878522323789377,0.9629070030973785,0.9121779859484778,0.9729545969630582,0.8637531162650147,0.9667598398428648
WESAD,9,0.9175925925925925,0.9722222222222223,0.9268518518518518,0.9848765432098766,0.939351851851852,0.9926697530864198
WESAD,10,0.7879800307219662,0.8683563748079877,0.7971966205837173,0.9152073732718894,0.9142089093701996,0.9834869431643626
WESAD,11,0.7588925691244239,0.8599510368663595,0.7658050115207373,0.8495823732718893,0.854046658986175,0.96363767281106
WESAD,12,0.6732364409783764,0.7914214817440625,0.6778447359092521,0.7970932293512939,0.8547678128323289,0.9510811768876286
WESAD,13,0.7523041474654377,0.8608592240225955,0.7695852534562212,0.8889549576334176,0.8502304147465438,0.953322431990486
WESAD,14,0.9193548387096775,0.9536046239162695,0.9262672811059908,0.983519487620089,0.9254471608216824,0.97156916347731
WESAD,15,0.795343558704175,0.8736501822683815,0.8137767384276773,0.8577618818350643,0.8637113969323887,0.96210193273265
WESAD,16,0.7820136852394917,0.8759251501186985,0.7958385700321184,0.862030442675604,0.8396522832006703,0.955453149001536
WESAD,17,0.7919973544973544,0.9000587889476779,0.798941798941799,0.8714726631393297,0.8852513227513228,0.9533362727807172
WESAD,18,0.8620155038759689,0.9290697674418604,0.8819767441860464,0.9527131782945736,0.8511627906976744,0.9598449612403102
WESAD,19,0.9017323775388292,0.9678912783751493,0.9236857825567504,0.9761798088410992,0.875373357228196,0.9639336917562724
