test_dataset,n_splits,lr_ba,lr_auroc,index_ba,xgb_ba,xgb_auroc,xgb_minus_lr_diff,xgb_minus_lr_ci95_lo,xgb_minus_lr_ci95_hi,xgb_minus_lr_equiv_005,xgb_minus_lr_p,lr_minus_index_diff,lr_minus_index_ci95_lo,lr_minus_index_ci95_hi,lr_minus_index_equiv_005,lr_minus_index_p,coef_hr,coef_eda,intercept,xgb_minus_lr_p_holm,lr_minus_index_p_holm
Campanella2024,20,0.8771,0.9491,0.8766,0.8675,0.9188,-0.0096,-0.0645,0.0454,False,0.7195,0.0005,-0.0298,0.0307,True,0.974,0.8774,0.9528,-0.2642,1.0,1.0
PhysioNet,20,0.7231,0.7782,0.7434,0.746,0.811,0.0229,-0.0217,0.0674,False,0.2958,-0.0203,-0.0422,0.0016,True,0.0672,0.7726,1.1935,-0.2391,0.8875,0.2687
Stress-Predict,20,0.6572,0.7333,0.6569,0.6456,0.7015,-0.0116,-0.0484,0.0253,True,0.5185,0.0003,-0.0175,0.018,True,0.9735,0.9174,1.328,-0.6005,1.0,1.0
UBFC-Phys,20,0.7562,0.8486,0.7625,0.8373,0.904,0.081,0.0198,0.1423,False,0.0122,-0.0062,-0.0181,0.0056,True,0.2835,0.9148,0.9939,-0.3162,0.0611,0.8506
WESAD,20,0.8236,0.9059,0.8362,0.8842,0.9693,0.0606,-0.0066,0.1278,False,0.0744,-0.0126,-0.0196,-0.0057,True,0.0011,0.8317,0.7736,-0.1999,0.2977,0.0057
