dataset,model,split,ba,auroc,n_test,n_test_matched,ba_matched,auroc_matched
Campanella2024,std_external,17,0.9565217391304348,1.0,47,23,,
Campanella2024,std+time_within,17,1.0,1.0,47,23,,
Campanella2024,std+time_external,17,1.0,1.0,47,23,,
Campanella2024,time_only_within,18,1.0,1.0,44,20,,
Campanella2024,std_within,18,1.0,1.0,44,20,,
Campanella2024,std_external,18,0.95,1.0,44,20,,
Campanella2024,std+time_within,18,1.0,1.0,44,20,,
Campanella2024,std+time_external,18,1.0,1.0,44,20,,
Campanella2024,time_only_within,19,1.0,1.0,45,21,,
Campanella2024,std_within,19,1.0,1.0,45,21,,
Campanella2024,std_external,19,0.9523809523809523,0.9642857142857143,45,21,,
Campanella2024,std+time_within,19,1.0,1.0,45,21,,
Campanella2024,std+time_external,19,0.9761904761904762,0.996031746031746,45,21,,
PhysioNet,time_only_within,0,0.760207336523126,0.852153110047847,329,128,0.5670995670995671,0.6320346320346321
PhysioNet,std_within,0,0.7602870813397129,0.8744019138755981,329,128,0.7288961038961039,0.8630952380952381
PhysioNet,std_external,0,0.6656299840510367,0.705103668261563,329,128,0.6942640692640694,0.7451298701298701
PhysioNet,std+time_within,0,0.855622009569378,0.8971291866028708,329,128,0.7608225108225108,0.7922077922077921
PhysioNet,std+time_external,0,0.44956140350877194,0.4554226475279107,329,128,0.44047619047619047,0.4318181818181818
PhysioNet,time_only_within,1,0.8059085841694538,0.8715161649944259,269,111,0.6047008547008547,0.7402065527065527
PhysioNet,std_within,1,0.7579152731326644,0.8736900780379041,269,111,0.7601495726495726,0.8945868945868946
PhysioNet,std_external,1,0.8209030100334448,0.9016722408026755,269,111,0.7911324786324787,0.8931623931623931
PhysioNet,std+time_within,1,0.8817725752508361,0.9284280936454851,269,111,0.8189102564102564,0.8856837606837609
PhysioNet,std+time_external,1,0.5379598662207358,0.6249721293199554,269,111,0.49091880341880345,0.5056980056980057
PhysioNet,time_only_within,2,0.8759512937595129,0.9525875190258752,337,114,0.6690821256038647,0.8302737520128824
PhysioNet,std_within,2,0.8417808219178082,0.8953576864535768,337,114,0.8347826086956522,0.9056360708534622
PhysioNet,std_external,2,0.8390791476407915,0.9073059360730593,337,114,0.8038647342995169,0.8876006441223833
PhysioNet,std+time_within,2,0.9247336377473363,0.9791476407914764,337,114,0.8468599033816425,0.9355877616747182
PhysioNet,std+time_external,2,0.5082191780821919,0.586986301369863,337,114,0.3884057971014493,0.3990338164251207
PhysioNet,time_only_within,3,0.8852385238523852,0.9627962796279628,347,117,0.6737235367372354,0.8807596513075965
PhysioNet,std_within,3,0.7246849684968497,0.7868286828682869,347,117,0.729296388542964,0.8032378580323786
PhysioNet,std_external,3,0.775052505250525,0.8391089108910891,347,117,0.7537359900373599,0.8284557907845579
PhysioNet,std+time_within,3,0.8810381038103811,0.9582208220822083,347,117,0.7995018679950188,0.8838729763387299
PhysioNet,std+time_external,3,0.4464071407140714,0.544029402940294,347,117,0.3121108343711083,0.3259651307596513
PhysioNet,time_only_within,4,0.8471951694585118,0.9421503700818077,353,114,0.6339869281045751,0.7902272019919079
PhysioNet,std_within,4,0.7738605375925205,0.8796260225944682,353,114,0.80765639589169,0.8857765328353564
PhysioNet,std_external,4,0.7565251266069342,0.8317101675107127,353,114,0.6760037348272643,0.7899159663865546
PhysioNet,std+time_within,4,0.8724191663420335,0.9727308141799766,353,114,0.8347338935574229,0.9097416744475567
PhysioNet,std+time_external,4,0.5270744059213088,0.5917413322945072,353,114,0.4042950513538749,0.4248366013071896
PhysioNet,time_only_within,5,0.9145854833161334,0.9757825937392501,368,117,0.6694444444444444,0.8941358024691358
PhysioNet,std_within,5,0.8220502235982112,0.8686618507051944,368,117,0.7805555555555556,0.8379629629629629
PhysioNet,std_external,5,0.7322669418644651,0.8256621947024424,368,117,0.6902777777777778,0.7839506172839507
PhysioNet,std+time_within,5,0.9421740626074991,0.9863777089783282,368,117,0.8319444444444445,0.9462962962962963
PhysioNet,std+time_external,5,0.4194358445132439,0.4522875816993464,368,117,0.2611111111111111,0.27716049382716046
PhysioNet,time_only_within,6,0.8518426294820718,0.9460159362549801,291,109,0.6621376811594203,0.8221014492753623
PhysioNet,std_within,6,0.7547310756972112,0.8361553784860557,291,109,0.7327898550724637,0.808695652173913
PhysioNet,std_external,6,0.661105577689243,0.733366533864542,291,109,0.6168478260869565,0.7079710144927536
PhysioNet,std+time_within,6,0.8791832669322709,0.9715139442231076,291,109,0.7728260869565218,0.9057971014492754
PhysioNet,std+time_external,6,0.4991533864541833,0.4865537848605578,291,109,0.4813405797101449,0.43804347826086953
PhysioNet,time_only_within,7,0.8130630630630631,0.8818506006006006,270,114,0.6212121212121212,0.7477904040404041
PhysioNet,std_within,7,0.7167792792792793,0.8308933933933933,270,114,0.7481060606060606,0.8939393939393939
PhysioNet,std_external,7,0.7660472972972974,0.8488175675675675,270,114,0.7339015151515151,0.8128156565656566
PhysioNet,std+time_within,7,0.8085585585585585,0.9041854354354355,270,114,0.7651515151515151,0.8320707070707071
PhysioNet,std+time_external,7,0.5543355855855856,0.6650713213213213,270,114,0.4460227272727273,0.47948232323232326
PhysioNet,time_only_within,8,0.8972222222222223,0.9672453703703704,333,112,0.690547263681592,0.8779436152570481
PhysioNet,std_within,8,0.8298611111111112,0.8724537037037037,333,112,0.8366500829187397,0.8882255389718077
PhysioNet,std_external,8,0.8173611111111111,0.9004629629629629,333,112,0.7651741293532338,0.8640132669983416
PhysioNet,std+time_within,8,0.9319444444444445,0.9800925925925925,333,112,0.8398009950248757,0.9419568822553896
PhysioNet,std+time_external,8,0.5364583333333333,0.6195987654320987,333,112,0.43864013266998336,0.42885572139303485
PhysioNet,time_only_within,9,0.8038405797101449,0.9189855072463768,326,111,0.6140983606557378,0.7483606557377048
PhysioNet,std_within,9,0.7838405797101449,0.8434057971014493,326,111,0.7744262295081967,0.8275409836065574
PhysioNet,std_external,9,0.7813768115942028,0.8385507246376812,326,111,0.6640983606557377,0.757704918032787
PhysioNet,std+time_within,9,0.8582608695652174,0.9471014492753623,326,111,0.7816393442622951,0.837377049180328
PhysioNet,std+time_external,9,0.5433333333333333,0.6682608695652174,326,111,0.43131147540983605,0.5052459016393442
PhysioNet,time_only_within,10,0.8652033206697622,0.9582102152807092,355,115,0.6521739130434783,0.8442028985507247
PhysioNet,std_within,10,0.7988251020121007,0.8673139158576052,355,115,0.75,0.8295526149968495
PhysioNet,std_external,10,0.6982552413113832,0.7265372168284789,355,115,0.5652173913043479,0.6197227473219913
PhysioNet,std+time_within,10,0.8839172646686366,0.9689038975657802,355,115,0.7898550724637681,0.8916194076874606
PhysioNet,std+time_external,10,0.49591951597017025,0.5068946109469536,355,115,0.35507246376811596,0.30151228733459357
PhysioNet,time_only_within,11,0.8029305585049904,0.8876619239753663,328,114,0.5966386554621849,0.7272019919078743
PhysioNet,std_within,11,0.7879592270121045,0.8329440079280811,328,114,0.7973856209150327,0.8565203859321506
PhysioNet,std_external,11,0.7585828555248815,0.826219296382813,328,114,0.6937441643323996,0.7622159975101152
PhysioNet,std+time_within,11,0.8320591774615984,0.9115877397890564,328,114,0.7675070028011204,0.8263305322128851
PhysioNet,std+time_external,11,0.5245982869682169,0.5880937212430097,328,114,0.4024276377217554,0.40896358543417366
PhysioNet,time_only_within,12,0.8743927827897293,0.9460444136016656,306,114,0.6545454545454545,0.8043831168831169
PhysioNet,std_within,12,0.857737682165163,0.9079632199861207,306,114,0.8220779220779221,0.8941558441558441
