features,subset,split,n,ba,auroc
ecg_hr3+wrist_hr5+eda,cov>=0.5,15,227,0.9736842105263157,0.9870509607351712
ecg_hr3+wrist_hr5+eda,cov<0.5,15,57,0.9655172413793103,1.0
wrist_hr5+eda (current),all,16,283,0.8484848484848485,0.9712330680072616
wrist_hr5+eda (current),cov>=0.5,16,221,0.8484848484848485,0.9653449387491941
wrist_hr5+eda (current),cov<0.5,16,62,0.8484848484848485,0.9843260188087775
wrist_hr3+eda,all,16,283,0.8409090909090908,0.9680212260857421
wrist_hr3+eda,cov>=0.5,16,221,0.8333333333333333,0.9582527401676338
wrist_hr3+eda,cov<0.5,16,62,0.8484848484848485,0.987460815047022
ecg_hr3+eda,all,16,283,0.9598170646557743,0.9898757156821674
ecg_hr3+eda,cov>=0.5,16,221,0.9670373952288847,0.9808188265635075
ecg_hr3+eda,cov<0.5,16,62,0.9545454545454546,1.0
ecg_hr3 only,all,16,283,0.9357980728948472,0.9815668202764977
ecg_hr3 only,cov>=0.5,16,221,0.9093326885880078,0.9722759509993553
ecg_hr3 only,cov<0.5,16,62,0.9827586206896552,0.9885057471264367
wrist_hr3 only,all,16,283,0.8231741376902667,0.899839407903924
wrist_hr3 only,cov>=0.5,16,221,0.7897324306898775,0.9487427466150871
wrist_hr3 only,cov<0.5,16,62,0.5,0.5
wrist_hr5 only,all,16,283,0.8528138528138528,0.9145021645021645
wrist_hr5 only,cov>=0.5,16,221,0.8431656995486783,0.9919406834300452
wrist_hr5 only,cov<0.5,16,62,0.5,0.5
eda only,all,16,283,0.8475073313782991,0.922427035330261
eda only,cov>=0.5,16,221,0.8753223726627981,0.9134429400386848
eda only,cov<0.5,16,62,0.8333333333333333,0.9582027168234064
ecg_hr3+wrist_hr5+eda,all,16,283,0.967392822231532,0.9886189079737466
ecg_hr3+wrist_hr5+eda,cov>=0.5,16,221,0.9518858800773694,0.9795293359123147
ecg_hr3+wrist_hr5+eda,cov<0.5,16,62,0.9848484848484849,1.0
wrist_hr5+eda (current),all,17,279,0.8865740740740741,0.9761904761904762
wrist_hr5+eda (current),cov>=0.5,17,235,0.90625,0.977524630541872
wrist_hr5+eda (current),cov<0.5,17,44,0.8325062034739454,0.9528535980148883
wrist_hr3+eda,all,17,279,0.878637566137566,0.9733245149911816
wrist_hr3+eda,cov>=0.5,17,235,0.8881619458128078,0.9767549261083744
wrist_hr3+eda,cov<0.5,17,44,0.8709677419354839,0.9478908188585609
ecg_hr3+eda,all,17,279,0.9189814814814814,0.9842004703115814
ecg_hr3+eda,cov>=0.5,17,235,0.8791564039408867,0.9766009852216748
ecg_hr3+eda,cov<0.5,17,44,0.9838709677419355,1.0
ecg_hr3 only,all,17,279,0.8640873015873016,0.9098691945914169
ecg_hr3 only,cov>=0.5,17,235,0.7920258620689655,0.8599907635467979
ecg_hr3 only,cov<0.5,17,44,0.9838709677419355,1.0
wrist_hr3 only,all,17,279,0.8366402116402116,0.9164829512051734
wrist_hr3 only,cov>=0.5,17,235,0.7648552955665024,0.9254926108374384
wrist_hr3 only,cov<0.5,17,44,0.5,0.5
wrist_hr5 only,all,17,279,0.8584656084656085,0.9405864197530863
wrist_hr5 only,cov>=0.5,17,235,0.7952586206896552,0.9493534482758621
wrist_hr5 only,cov<0.5,17,44,0.5,0.5
eda only,all,17,279,0.8330026455026455,0.9479717813051146
eda only,cov>=0.5,17,235,0.8733836206896552,0.9433497536945812
eda only,cov<0.5,17,44,0.8064516129032258,0.9478908188585609
ecg_hr3+wrist_hr5+eda,all,17,279,0.9189814814814814,0.9861845972957084
ecg_hr3+wrist_hr5+eda,cov>=0.5,17,235,0.8791564039408867,0.9782943349753694
ecg_hr3+wrist_hr5+eda,cov<0.5,17,44,0.9838709677419355,1.0
wrist_hr5+eda (current),all,18,275,0.9160852713178295,0.9778294573643411
wrist_hr5+eda (current),cov>=0.5,18,215,0.9519176536943035,0.9881556683587142
wrist_hr5+eda (current),cov<0.5,18,60,0.8452380952380952,0.9484126984126984
wrist_hr3+eda,all,18,275,0.9091085271317829,0.9760465116279069
wrist_hr3+eda,cov>=0.5,18,215,0.944303440496334,0.985335589396503
wrist_hr3+eda,cov<0.5,18,60,0.8452380952380952,0.947089947089947
ecg_hr3+eda,all,18,275,0.9337209302325582,0.9929457364341086
ecg_hr3+eda,cov>=0.5,18,215,0.9569937958262831,0.9923857868020305
ecg_hr3+eda,cov<0.5,18,60,0.9126984126984127,0.9867724867724867
ecg_hr3 only,all,18,275,0.9054263565891473,0.9589147286821705
ecg_hr3 only,cov>=0.5,18,215,0.9720812182741116,0.9861816130851664
ecg_hr3 only,cov<0.5,18,60,0.876984126984127,0.9325396825396826
wrist_hr3 only,all,18,275,0.8546511627906976,0.8790310077519379
wrist_hr3 only,cov>=0.5,18,215,0.7749576988155669,0.8847997743936831
wrist_hr3 only,cov<0.5,18,60,0.5,0.5
wrist_hr5 only,all,18,275,0.875968992248062,0.8932558139534883
wrist_hr5 only,cov>=0.5,18,215,0.835589396503102,0.9314720812182741
wrist_hr5 only,cov<0.5,18,60,0.5,0.5
eda only,all,18,275,0.9040697674418605,0.9048062015503876
eda only,cov>=0.5,18,215,0.9519176536943035,0.9450084602368866
eda only,cov<0.5,18,60,0.876984126984127,0.8915343915343914
ecg_hr3+wrist_hr5+eda,all,18,275,0.9563953488372092,0.9929457364341086
ecg_hr3+wrist_hr5+eda,cov>=0.5,18,215,0.9544557247602933,0.9946418499717993
ecg_hr3+wrist_hr5+eda,cov<0.5,18,60,0.9484126984126984,0.9867724867724867
wrist_hr5+eda (current),all,19,278,0.9204002389486261,0.9830495818399043
wrist_hr5+eda (current),cov>=0.5,19,171,0.9672056131787676,0.9914582062233068
wrist_hr5+eda (current),cov<0.5,19,107,0.8727611940298508,0.9623134328358209
wrist_hr3+eda,all,19,278,0.9204002389486261,0.9831242532855435
wrist_hr3+eda,cov>=0.5,19,171,0.9672056131787676,0.9929835265405735
wrist_hr3+eda,cov<0.5,19,107,0.8727611940298508,0.9589552238805971
ecg_hr3+eda,all,19,278,0.9412335722819594,0.9978345280764636
ecg_hr3+eda,cov>=0.5,19,171,0.951189749847468,0.9972544234289201
ecg_hr3+eda,cov<0.5,19,107,0.9375,0.9985074626865671
ecg_hr3 only,all,19,278,0.9168906810035842,0.9732676224611709
ecg_hr3 only,cov>=0.5,19,171,0.8863636363636364,0.9795607077486272
ecg_hr3 only,cov<0.5,19,107,0.8755597014925374,0.9634328358208955
wrist_hr3 only,all,19,278,0.7653076463560334,0.8057795698924731
wrist_hr3 only,cov>=0.5,19,171,0.8073520439292251,0.9176327028676022
wrist_hr3 only,cov<0.5,19,107,0.5,0.5
wrist_hr5 only,all,19,278,0.7699372759856631,0.8304958183990441
wrist_hr5 only,cov>=0.5,19,171,0.8140634533251982,0.9490543014032946
wrist_hr5 only,cov<0.5,19,107,0.5,0.5
eda only,all,19,278,0.9192801672640383,0.914426523297491
eda only,cov>=0.5,19,171,0.963849908480781,0.9572910311165345
eda only,cov<0.5,19,107,0.8901119402985074,0.8865671641791044
ecg_hr3+wrist_hr5+eda,all,19,278,0.9792413381123058,0.9988799283154123
ecg_hr3+wrist_hr5+eda,cov>=0.5,19,171,0.951189749847468,0.9987797437461867
ecg_hr3+wrist_hr5+eda,cov<0.5,19,107,0.9925373134328358,1.0
