features,subset,split,n,ba,auroc
wrist_hr3+eda,all,3,278,0.9847859327217126,0.9996941896024465
wrist_hr3+eda,cov>=0.5,3,239,0.9809409888357257,0.9996810207336523
wrist_hr3+eda,cov<0.5,3,39,0.8888888888888888,1.0
ecg_hr3+eda,all,3,278,0.9247706422018349,0.9824923547400612
ecg_hr3+eda,cov>=0.5,3,239,0.8736842105263158,0.9748006379585327
ecg_hr3+eda,cov<0.5,3,39,1.0,1.0
ecg_hr3 only,all,3,278,0.8426605504587157,0.9002293577981652
ecg_hr3 only,cov>=0.5,3,239,0.7901913875598086,0.8484051036682616
ecg_hr3 only,cov<0.5,3,39,0.95,1.0
wrist_hr3 only,all,3,278,0.8668195718654435,0.9081804281345567
wrist_hr3 only,cov>=0.5,3,239,0.8188197767145136,0.9170653907496014
wrist_hr3 only,cov<0.5,3,39,0.5,0.5
wrist_hr5 only,all,3,278,0.8653669724770643,0.9308103975535168
wrist_hr5 only,cov>=0.5,3,239,0.8093301435406699,0.9307814992025518
wrist_hr5 only,cov<0.5,3,39,0.5,0.5
eda only,all,3,278,0.9931192660550459,0.9997706422018349
eda only,cov>=0.5,3,239,0.9952153110047847,0.9996810207336523
eda only,cov<0.5,3,39,0.9444444444444444,1.0
ecg_hr3+wrist_hr5+eda,all,3,278,0.9414373088685015,0.989908256880734
ecg_hr3+wrist_hr5+eda,cov>=0.5,3,239,0.9070175438596491,0.9814992025518342
ecg_hr3+wrist_hr5+eda,cov<0.5,3,39,1.0,1.0
wrist_hr5+eda (current),all,4,280,0.9826708585972004,0.997679467025975
wrist_hr5+eda (current),cov>=0.5,4,172,0.9352419904567144,0.9931833674164963
wrist_hr5+eda (current),cov<0.5,4,108,0.9910714285714286,0.9986263736263736
wrist_hr3+eda,all,4,280,0.9826708585972004,0.9975297552211992
wrist_hr3+eda,cov>=0.5,4,172,0.9352419904567144,0.9931833674164963
wrist_hr3+eda,cov<0.5,4,108,0.9910714285714286,0.9996565934065934
ecg_hr3+eda,all,4,280,0.9977168949771689,1.0
ecg_hr3+eda,cov>=0.5,4,172,0.9969325153374233,1.0
ecg_hr3+eda,cov<0.5,4,108,1.0,1.0
ecg_hr3 only,all,4,280,0.9977168949771689,0.9998502881952241
ecg_hr3 only,cov>=0.5,4,172,0.9969325153374233,0.9993183367416497
ecg_hr3 only,cov<0.5,4,108,1.0,1.0
wrist_hr3 only,all,4,280,0.8205704019761958,0.833670184894079
wrist_hr3 only,cov>=0.5,4,172,0.8861622358554874,0.9495569188820722
wrist_hr3 only,cov<0.5,4,108,0.5,0.5
wrist_hr5 only,all,4,280,0.827419717044689,0.8346433116251216
wrist_hr5 only,cov>=0.5,4,172,0.8953646898432175,0.9584185412406272
wrist_hr5 only,cov<0.5,4,108,0.5,0.5
eda only,all,4,280,0.9607755071487387,0.9927389774683734
eda only,cov>=0.5,4,172,0.9693251533742331,0.9959100204498977
eda only,cov<0.5,4,108,0.9807692307692308,0.9996565934065935
ecg_hr3+wrist_hr5+eda,all,4,280,1.0,1.0
ecg_hr3+wrist_hr5+eda,cov>=0.5,4,172,1.0,1.0
ecg_hr3+wrist_hr5+eda,cov<0.5,4,108,1.0,1.0
wrist_hr5+eda (current),all,5,277,0.9838709677419355,0.9971582181259601
wrist_hr5+eda (current),cov>=0.5,5,219,0.9901477832512315,0.9929187192118227
wrist_hr5+eda (current),cov<0.5,5,58,0.8928571428571428,0.9983766233766234
wrist_hr3+eda,all,5,277,0.9815668202764978,0.9980030721966207
wrist_hr3+eda,cov>=0.5,5,219,0.9876847290640394,0.9953817733990148
wrist_hr3+eda,cov<0.5,5,58,0.8928571428571428,0.9983766233766234
ecg_hr3+eda,all,5,277,0.988479262672811,0.9981566820276498
ecg_hr3+eda,cov>=0.5,5,219,0.9901477832512315,0.9990763546798029
ecg_hr3+eda,cov<0.5,5,58,0.9642857142857143,0.9853896103896104
ecg_hr3 only,all,5,277,0.8844086021505376,0.9610599078341013
ecg_hr3 only,cov>=0.5,5,219,0.9367302955665024,0.9830665024630542
ecg_hr3 only,cov<0.5,5,58,0.862012987012987,0.9383116883116882
wrist_hr3 only,all,5,277,0.886021505376344,0.9039938556067588
wrist_hr3 only,cov>=0.5,5,219,0.8232758620689655,0.9341133004926109
wrist_hr3 only,cov<0.5,5,58,0.5,0.5
