dataset,model,split,ba_unmatched,ba_dataset_range,ba_subject_range
PhysioNet,phys_external,11,0.7585828555248815,0.6937441643323996,0.7580105212816834
PhysioNet,time_only_within,12,0.8743927827897293,0.6545454545454545,0.638755980861244
PhysioNet,phys_within,12,0.857737682165163,0.8220779220779221,0.8205741626794258
PhysioNet,phys_external,12,0.7263185287994449,0.6879870129870129,0.694377990430622
PhysioNet,time_only_within,13,0.6917372881355932,0.4853395061728395,0.5416666666666666
PhysioNet,phys_within,13,0.6364406779661017,0.6382716049382716,0.6791666666666667
PhysioNet,phys_external,13,0.6101694915254237,0.6388888888888888,0.6354166666666667
PhysioNet,time_only_within,14,0.8269805680119582,0.6372549019607843,0.5905797101449275
PhysioNet,phys_within,14,0.815235959854794,0.8175770308123249,0.8146997929606625
PhysioNet,phys_external,14,0.8052530429212044,0.796218487394958,0.8090062111801242
PhysioNet,time_only_within,15,0.8616086515714768,0.6530748663101604,0.6569264069264069
PhysioNet,phys_within,15,0.7529148360932747,0.7479946524064172,0.7353896103896104
PhysioNet,phys_external,15,0.8110003379520108,0.7406417112299466,0.7651515151515151
PhysioNet,time_only_within,16,0.7019734380845493,0.4732954545454545,0.5019592476489028
PhysioNet,phys_within,16,0.762532734754957,0.7454545454545455,0.7092476489028213
PhysioNet,phys_external,16,0.6791526374859709,0.7153409090909091,0.7151253918495297
PhysioNet,time_only_within,17,0.9063267813267813,0.6925505050505051,0.6841692789968652
PhysioNet,phys_within,17,0.7443181818181819,0.7651515151515151,0.7723354231974922
PhysioNet,phys_external,17,0.6939496314496314,0.6603535353535352,0.7202194357366771
PhysioNet,time_only_within,18,0.7880216802168022,0.6181850789096126,0.6779151353157367
PhysioNet,phys_within,18,0.808130081300813,0.8267575322812052,0.8277647844971601
PhysioNet,phys_external,18,0.7270460704607047,0.7263271162123386,0.7265285666555296
PhysioNet,time_only_within,19,0.7466061392131431,0.5341269841269841,0.5430555555555556
PhysioNet,phys_within,19,0.7938607868568959,0.790873015873016,0.7694444444444444
PhysioNet,phys_external,19,0.7115866839602248,0.7126984126984127,0.6930555555555555
Stress-Predict,time_only_within,0,0.9794600435670057,0.9478512188992209,0.9579961464354527
Stress-Predict,phys_within,0,0.725545016380508,0.6910655943704448,0.6879254977520873
Stress-Predict,phys_external,0,0.6620383869916469,0.6680698668007037,0.6658959537572254
Stress-Predict,time_only_within,1,0.9670861937452326,0.9369360902255639,0.9452153110047847
Stress-Predict,phys_within,1,0.6672006102212051,0.6608082706766917,0.6674641148325359
Stress-Predict,phys_external,1,0.7028985507246377,0.7017857142857142,0.7090909090909091
Stress-Predict,time_only_within,2,0.9648905016552075,0.9332488976451825,0.9410809778456837
Stress-Predict,phys_within,2,0.6424035523300229,0.6136598179941833,0.6111535523300229
Stress-Predict,phys_external,2,0.6272679526355996,0.6597710854676799,0.6585179526355996
Stress-Predict,time_only_within,3,0.9536094477711244,0.9078282828282829,0.9027777777777778
Stress-Predict,phys_within,3,0.6846972721224218,0.6297979797979798,0.6388888888888888
Stress-Predict,phys_external,3,0.6913506320691949,0.692929292929293,0.6666666666666667
Stress-Predict,time_only_within,4,0.9345425995175887,0.8459757340001852,0.8800376647834275
Stress-Predict,phys_within,4,0.7372638531397212,0.6504584606835232,0.6612052730696798
Stress-Predict,phys_external,4,0.7094199731274181,0.7169121052144114,0.7158192090395481
Stress-Predict,time_only_within,5,0.929479455356067,0.8335492227979275,0.8547756378922671
Stress-Predict,phys_within,5,0.680322930473551,0.6331883789785344,0.6434646593019846
Stress-Predict,phys_external,5,0.6589046873117244,0.64789970392302,0.6517743669957963
Stress-Predict,time_only_within,6,0.9032691847956011,0.794266137756942,0.8410392798690671
Stress-Predict,phys_within,6,0.6937903418599092,0.6225658131987017,0.6178396072013093
Stress-Predict,phys_external,6,0.6651326798948123,0.6250450775333574,0.6164075286415712
Stress-Predict,time_only_within,7,0.9032061178329085,0.7950310559006211,0.8082585691281343
Stress-Predict,phys_within,7,0.7507001041180483,0.7511645962732919,0.764722797331493
Stress-Predict,phys_external,7,0.6322837755358489,0.6809006211180124,0.689498504715896
Stress-Predict,time_only_within,8,0.9125762648000811,0.7799966577540107,0.8018716577540106
Stress-Predict,phys_within,8,0.7092372795385709,0.7098512700534759,0.7166221033868092
Stress-Predict,phys_external,8,0.6550947060272743,0.7071356951871658,0.7123440285204992
Stress-Predict,time_only_within,9,0.9549346399688035,0.9023668639053255,0.9144751260135875
Stress-Predict,phys_within,9,0.7355589088011394,0.7065088757396449,0.7169077361385054
Stress-Predict,phys_external,9,0.6573557586341363,0.6414201183431952,0.6902805172035942
Stress-Predict,time_only_within,10,0.9316474415853297,0.8317326930772309,0.8437990580847724
Stress-Predict,phys_within,10,0.7491274770777876,0.71468587434974,0.7501308215593929
Stress-Predict,phys_external,10,0.6362023070097604,0.6174469787915167,0.706436420722135
Stress-Predict,time_only_within,11,0.9780856918238994,0.9617957982068781,0.9719715613891168
Stress-Predict,phys_within,11,0.6541595197255574,0.7167804094741068,0.7149302707136997
Stress-Predict,phys_external,11,0.5833601343624928,0.6799812658905393,0.6795187312004376
Stress-Predict,time_only_within,12,0.927556331478732,0.8359183272798665,0.8781769793745842
Stress-Predict,phys_within,12,0.716784414821583,0.6453813684107195,0.6169660678642714
Stress-Predict,phys_external,12,0.67814779161024,0.6436634926867576,0.6882900864936793
Stress-Predict,time_only_within,13,0.9310784551858149,0.856280193236715,0.8972158657513349
Stress-Predict,phys_within,13,0.679104930774836,0.6372498274672187,0.6301487414187643
Stress-Predict,phys_external,13,0.6407578333738159,0.665631469979296,0.6643783371472158
Stress-Predict,time_only_within,14,0.9571372614850876,0.8886168179646441,0.9139307897071872
Stress-Predict,phys_within,14,0.7046705090183352,0.6784519827998089,0.68944099378882
Stress-Predict,phys_external,14,0.6487325835151923,0.6817367415193503,0.6992014196983141
Stress-Predict,time_only_within,15,0.9739880059970014,0.9299758015728977,0.9381878209831254
Stress-Predict,phys_within,15,0.651024487756122,0.6672716273442226,0.6605527023722182
Stress-Predict,phys_external,15,0.5606446776611694,0.5960375075620085,0.6712521398875031
Stress-Predict,time_only_within,16,0.9787234042553192,0.9423076923076923,0.9418604651162791
Stress-Predict,phys_within,16,0.6723114777826025,0.5985740450026165,0.5755418446448347
Stress-Predict,phys_external,16,0.6575481256332321,0.6996336996336996,0.6915836101882613
Stress-Predict,time_only_within,17,0.9363748363748364,0.8614165890027959,0.883046683046683
Stress-Predict,phys_within,17,0.6964117964117964,0.6723671947809879,0.6825552825552825
Stress-Predict,phys_external,17,0.6987140987140987,0.6906337371854614,0.6936117936117936
Stress-Predict,time_only_within,18,0.956349584206183,0.8837347606303896,0.8932694669614345
Stress-Predict,phys_within,18,0.6771805370405637,0.7091882247992863,0.7446573323507737
Stress-Predict,phys_external,18,0.6264282993715482,0.6489741302408564,0.7433677229182019
Stress-Predict,time_only_within,19,0.9721589058938457,0.949764982373678,0.9527027027027027
Stress-Predict,phys_within,19,0.7338000651253663,0.6827262044653349,0.6891891891891893
Stress-Predict,phys_external,19,0.7189433409312928,0.745593419506463,0.7297297297297297
UBFC-Phys,time_only_within,0,0.5,,
UBFC-Phys,phys_within,0,0.7,,
UBFC-Phys,phys_external,0,0.9,,
UBFC-Phys,time_only_within,1,0.5,,
UBFC-Phys,phys_within,1,0.65,,
