model,n_units,n_subjects,rho,rho_lo,rho_hi,r2_response,r2_dataset,r2_both,delta_r2_dataset_given_response,delta_lo,delta_hi,delta_r2_response_given_dataset,delta_resp_lo,delta_resp_hi
ext,182,123,0.556,0.431,0.66,0.333,0.223,0.439,0.105,0.043,0.209,0.215,0.126,0.324
win,182,123,0.484,0.339,0.621,0.318,0.144,0.384,0.066,0.029,0.136,0.24,0.125,0.363
