dataset,subject_id,subject_uid,harmonized_label,timestamp_start,temp_available,r1_range,r2_slope,r3_temp,invalid_frac,invalid_frac_eda_rules,raw_eda_range,raw_eda_mean
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,480.0,True,0.0,0.0,0.0,0.0,0.0,0.032031000000000004,0.16458779166666665
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,510.0,True,0.0,0.0,0.0,0.0,0.0,0.130688,0.1694885958333333
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,540.0,True,0.0,0.0,0.0,0.0,0.0,0.138376,0.17422927916666667
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,570.0,True,0.0,0.0,0.0,0.0,0.0,0.07175099999999998,0.17449085416666668
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,600.0,True,0.0,0.0,0.0,0.0,0.0,0.04356299999999999,0.17782208333333335
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,630.0,True,0.0,0.0,0.0,0.0,0.0,0.024344000000000005,0.1808810875
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,660.0,True,0.0,0.0,0.0,0.0,0.0,0.085844,0.17948772500000001
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,960.0,True,0.0,0.0,0.0,0.0,0.0,0.10250000000000001,0.18151104166666668
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,990.0,True,0.0,0.0,0.0,0.0,0.0,0.108906,0.18440453750000002
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1020.0,True,0.0,0.0,0.0,0.0,0.0,0.055093999999999976,0.18061950000000002
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1050.0,True,0.0,0.0,0.0,0.0,0.0,0.047406000000000004,0.18572315833333336
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1080.0,True,0.0,0.0,0.0,0.0,0.0,0.034594000000000014,0.18843514583333335
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1110.0,True,0.0,0.0,0.0,0.0,0.0,0.05124999999999999,0.1887181
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1380.0,True,0.0,0.0,0.0,0.0,0.0,0.042280999999999985,0.20884436666666667
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,1410.0,True,0.0,0.0,0.0,0.0,0.0,0.037156999999999996,0.2131899375
Campanella2024,subject_02,Campanella2024:subject_02,Stress,1650.0,True,0.0,0.0,0.0,0.0,0.0,0.012812999999999991,0.22447565000000003
Campanella2024,subject_02,Campanella2024:subject_02,Stress,1680.0,True,0.0,0.0,0.0,0.0,0.0,0.02049999999999999,0.22212133333333334
Campanella2024,subject_02,Campanella2024:subject_02,Stress,1710.0,True,0.0,0.0,0.0,0.0,0.0,0.01793699999999998,0.21682017499999998
Campanella2024,subject_02,Campanella2024:subject_02,Stress,1740.0,True,0.0,0.0,0.0,0.0,0.0,0.01793699999999998,0.21457266666666666
Campanella2024,subject_03,Campanella2024:subject_03,Baseline,15.0,True,0.0,0.0,0.0,0.0,0.0,0.20090200000000003,0.5164364208333334
Campanella2024,subject_03,Campanella2024:subject_03,Baseline,45.0,True,0.0,0.0,0.0,0.0,0.0,0.02050099999999999,0.48525066250000004
Campanella2024,subject_03,Campanella2024:subject_03,Baseline,75.0,True,0.0,0.0,0.0,0.0,0.0,0.030752,0.4949194041666667
